czech,english
"Jak se cítíš?","How are you feeling?"
"Necítím se dobře.","I don't feel well."
"Bolí mě hlava.","I have a headache."
"Bolí mě v krku.","I have a sore throat."
"Mám rýmu.","I have a runny nose."
"Kašlu.","I have a cough."
"Mám horečku.","I have a fever."
"Je mi nevolno.","I feel sick."
"Je mi lépe.","I feel better."
"Zhoršuje se to.","It's getting worse."
"Od kdy ti je špatně?","How long have you felt ill?"
"Měl bys odpočívat.","You should get some rest."
"Musím navštívit lékaře.","I need to see a doctor."
"Objednal jsem se k lékaři.","I've made an appointment with the doctor."
"Potřebuji lékárnu.","I need a pharmacy."
"Kde je nejbližší nemocnice?","Where is the nearest hospital?"
"Vezmi si tento lék.","Take this medicine."
"Přečti si příbalový leták.","Read the instructions."
"Jsem alergický na penicilin.","I'm allergic to penicillin."
"Nemohu dýchat.","I can't breathe."
"Zavolejte záchranku.","Call an ambulance."
"Potřebuji pomoc.","I need help."
"Dávej na sebe pozor.","Take care of yourself."
"Dávej pozor.","Be careful."
"Není to tak vážné.","It's not that serious."
"Musíš to nechat zkontrolovat.","You need to get it checked."
"Zlomil jsem si ruku.","I've broken my arm."
"Uklouzl jsem.","I slipped."
"Zranil jsem si koleno.","I hurt my knee."
"Mám bolest v zádech.","I have back pain."
"Nemůžu se hýbat.","I can't move."
"Potřebuji si sednout.","I need to sit down."
"Podej mi prosím vodu.","Please pass me some water."
"Užívám antibiotika.","I'm taking antibiotics."
"Jsem na nemocenské.","I'm off sick."
"Dnes zůstanu doma.","I'll stay home today."
"Nechci nikoho nakazit.","I don't want to infect anyone."
"Měl bys zůstat v posteli.","You should stay in bed."
"Hodně pij.","Drink plenty of fluids."
"Musíš se vyspat.","You need to get some sleep."
"Kdy se budeš cítit lépe?","When will you feel better?"
"Snad se brzy uzdravíš.","I hope you get better soon."
"Jak dlouho to bude trvat?","How long will it take?"
"Potřebuji změnit termín.","I need to change the appointment."
"Zrušil jsem schůzku.","I cancelled the appointment."
"Nepracuj příliš tvrdě.","Don't work too hard."
"Poslouchej své tělo.","Listen to your body."
"Brzy budeš v pořádku.","You'll be fine soon."
