czech,english
"Ahoj.","Hi."
"Dobré ráno.","Good morning."
"Jak se máš?","How are you?"
"Mám se dobře.","I'm fine."
"Co je nového?","What's new?"
"Rád tě vidím.","Nice to see you."
"Dlouho jsme se neviděli.","Long time no see."
"Jak se jmenuješ?","What's your name?"
"Jmenuji se Tom","My name is Tom"
"Odkud jsi?","Where are you from?"
"Jsem z Česka.","I'm from the Czech Republic."
"Kolik je hodin?","What time is it?"
"Co dnes děláš?","What are you doing today?"
"Kam jdeš?","Where are you going?"
"Počkej chvíli.","Wait a moment."
"Hned jsem zpátky.","I'll be right back."
"Pojďme na to.","Let's do it."
"To zní dobře.","That sounds good."
"To je skvělý nápad.","That's a great idea."
"To je v pořádku.","That's okay."
"Žádný problém.","No problem."
"Neboj se.","Don't worry."
"Promiň.","I'm sorry."
"To nevadí.","That's all right."
"Můžeš mi pomoct?","Can you help me?"
"Mohl bys to zopakovat?","Could you repeat that?"
"Nerozumím.","I don't understand."
"Můžeš mluvit pomaleji?","Can you speak more slowly?"
"Jak se to řekne anglicky?","How do you say that in English?"
"Co to znamená?","What does that mean?"
"Jak se to píše?","How do you spell that?"
"Potřebuji trochu času.","I need a little time."
"Nevím.","I don't know."
"Myslím, že ano.","I think so."
"Myslím, že ne.","I don't think so."
"Souhlasím s tebou.","I agree with you."
"To záleží.","It depends."
"Už jsem připravený.","I'm ready."
"Ještě nejsem připravený.","I'm not ready yet."
"Mám hlad.","I'm hungry."
"Mám žízeň.","I'm thirsty."
"Je mi zima.","I'm cold."
"To je moc drahé.","That's too expensive."
"Kolik to stojí?","How much does it cost?"
"Dám si kávu.","I'll have a coffee."
"Účet prosím.","Could we have the bill please?"
"Uvidíme se zítra.","See you tomorrow."
"Měj se hezky.","Have a nice day."
