czech,english
"Můžeš mi poslat poslední verzi dokumentu?","Can you send me the latest version of the document?"
"Nemůžu otevřít přílohu.","I can't open the attachment."
"Zdá se, že soubor je poškozený.","It seems that the file is corrupted."
"Zkusil jsem restartovat počítač.","I tried restarting the computer."
"Musím si aktualizovat software.","I need to update my software."
"Nejsem si jistý, jestli mám dostatečná oprávnění.","I'm not sure whether I have the necessary permissions."
"Můžeš mi nastavit přístup?","Can you set up access for me?"
"Zapomněl jsem své přihlašovací údaje.","I forgot my login details."
"Musel jsem si obnovit heslo.","I had to reset my password."
"Neotvírej odkazy z neznámých zdrojů.","Don't open links from unknown sources."
"Ulož si kopii pro případ, že by se něco pokazilo.","Save a copy in case something goes wrong."
"Zálohuj si důležité soubory.","Back up your important files."
"Připojení se pořád přerušuje.","The connection keeps dropping."
"Zkus se připojit k jiné síti.","Try connecting to a different network."
"Video se mi stále načítá.","The video keeps buffering."
"Můžeš vypnout kameru, aby se spojení zlepšilo.","You can turn off your camera to improve the connection."
"Slyším tě, ale nevidím obraz.","I can hear you, but I can't see the picture."
"Můžeš zopakovat poslední část?","Could you repeat the last part?"
"Promiň, na chvíli jsem tě ztratil.","Sorry, I lost you for a moment."
"Mikrofon máš vypnutý.","Your microphone is muted."
"Pošlu ti zápis ze schůzky.","I'll send you the meeting notes."
"Můžeš do dokumentu přidat své připomínky?","Can you add your comments to the document?"
"Vložil jsem tam několik návrhů.","I added several suggestions there."
"Prosím, označ změny barevně.","Please highlight the changes."
"Potřebujeme si ujasnit, která verze je aktuální.","We need to clarify which version is current."
"Některé informace už nejsou aktuální.","Some of the information is no longer up to date."
"Tato část vyžaduje další ověření.","This part requires further verification."
"Neměli bychom zveřejňovat neověřené informace.","We shouldn't publish unverified information."
"Zdroj této informace není důvěryhodný.","The source of this information isn't reliable."
"Je těžké rozlišit fakta od názorů.","It's difficult to distinguish facts from opinions."
"Podle dostupných údajů se situace zlepšuje.","According to the available data, the situation is improving."
"Zpráva vyvolala mezi lidmi smíšené reakce.","The report provoked mixed reactions among people."
"Nejsem si jistý, jak přesné tyto údaje jsou.","I'm not sure how accurate this data is."
"To tvrzení nebylo ničím podloženo.","That claim wasn't supported by any evidence."
"Potřebujeme si ověřit informace z více zdrojů.","We need to verify the information against several sources."
"Článek se zabývá důsledky změny klimatu.","The article deals with the effects of climate change."
"Kniha mě přiměla přemýšlet o vlastních rozhodnutích.","The book made me think about my own decisions."
"Film byl založen na skutečné události.","The film was based on a true event."
"Některé scény na mě působily příliš realisticky.","Some of the scenes felt too realistic to me."
"Nejvíc mě zaujal způsob, jakým autor vypráví příběh.","What interested me most was the way the author tells the story."
"Děj se odehrává v blízké budoucnosti.","The story is set in the near future."
"Nevím, jestli jsem správně pochopil hlavní myšlenku.","I'm not sure I understood the main idea correctly."
"Mohl bys mi doporučit něco podobného?","Could you recommend something similar?"
"Nemám čas sledovat všechny zprávy.","I don't have time to follow all the news."
"Snažím se omezit čas strávený na sociálních sítích.","I'm trying to cut down on the time I spend on social media."
"Internet změnil způsob, jakým spolu komunikujeme.","The internet has changed the way we communicate."
"Technologie nám může ušetřit spoustu času.","Technology can save us a lot of time."
"Zároveň bychom na ní neměli být příliš závislí.","At the same time, we shouldn't become too dependent on it."
