czech,english
"Teprve teď si uvědomuji, jak důležité to je.","I'm only now realizing how important it is."
"Nechtěl jsem to uspěchat.","I didn't want to rush it."
"Potřeboval jsem si to pořádně promyslet.","I needed to think it through carefully."
"Nakonec jsem se rozhodl, že to zkusím.","In the end I decided to give it a try."
"Podařilo se mi to vyřešit bez pomoci.","I managed to sort it out without any help."
"Zapomněl jsem ti o tom říct.","I forgot to tell you about it."
"Předpokládal jsem, že už to víš.","I assumed you already knew."
"Očekával jsem trochu jiný výsledek.","I expected a slightly different result."
"Nejsem si jistý, jestli je to nejlepší řešení.","I'm not sure whether it's the best solution."
"Nejde o to, kdo má pravdu.","It's not about who's right."
"Jde hlavně o to, abychom našli řešení.","The main thing is that we find a solution."
"Nemá smysl se kvůli tomu hádat.","There's no point in arguing about it."
"Nemůžu si dovolit udělat další chybu.","I can't afford to make another mistake."
"Neměl jsem na výběr.","I had no choice."
"Byl jsem nucený změnit své plány.","I was forced to change my plans."
"Nejsem zvyklý mluvit před tolika lidmi.","I'm not used to speaking in front of so many people."
"Už jsem si na ten hluk zvykl.","I've got used to the noise."
"Trvalo mi dlouho, než jsem se rozhodl.","It took me a long time to make up my mind."
"Neměl jsem tušení, co se děje.","I had no idea what was going on."
"Ani ve snu by mě nenapadlo, že se to stane.","It never crossed my mind that this would happen."
"Nedokážu si představit, že bych tam žil.","I can't imagine living there."
"Čím víc o tom přemýšlím, tím méně tomu rozumím.","The more I think about it, the less I understand it."
"Jakmile budu mít více informací, dám ti vědět.","As soon as I have more information, I'll let you know."
"Pokud všechno půjde podle plánu, skončíme včas.","If everything goes according to plan, we'll finish on time."
"I když to nebylo snadné, nevzdal jsem se.","Although it wasn't easy, I didn't give up."
"Nechtěl jsem tě dostat do nepříjemné situace.","I didn't want to put you in an awkward position."
"Mrzí mě, že jsem ti způsobil tolik starostí.","I'm sorry I caused you so much worry."
"Měl jsem pocit, že mi nikdo nenaslouchá.","I felt like nobody was listening to me."
"Vypadalo to, jako by se nic nestalo.","It looked as if nothing had happened."
"Mám dojem, že jsme něco přehlédli.","I get the feeling we've overlooked something."
"Nemůžu uvěřit, jak rychle ten čas utekl.","I can't believe how quickly the time has passed."
"Už dlouho jsem se necítil tak dobře.","I haven't felt this good in a long time."
"Bylo by ode mě nefér, kdybych ti to neřekl.","It would be unfair of me not to tell you."
"Raději bych o tom zatím nemluvil.","I'd rather not talk about it yet."
"Nechci dělat ukvapené závěry.","I don't want to jump to conclusions."
"Zkusme se na to podívat z jiné perspektivy.","Let's look at it from a different perspective."
"To je přesně to, čeho jsem se obával.","That's exactly what I was afraid of."
"To není tak jednoduché, jak to vypadá.","It's not as simple as it looks."
"Není divu, že je z toho unavený.","It's no wonder he's tired of it."
"Vzhledem k okolnostem jsme si vedli dobře.","Considering the circumstances, we did well."
"Kdybych to věděl dřív, jednal bych jinak.","If I'd known earlier, I would have acted differently."
"Kéž bych se rozhodl dřív.","I wish I'd made up my mind sooner."
"Neměl jsem v úmyslu tě zdržovat.","I didn't intend to hold you up."
"Neber to jako kritiku.","Don't take it as criticism."
"To je něco, co musíme brát v úvahu.","That's something we need to take into account."
"Děkuji, že jsi byl tak upřímný.","Thank you for being so honest."
"Oceňuji, že ses kvůli tomu ozval.","I appreciate you getting in touch about it."
"Teď už to začíná dávat smysl.","It's starting to make sense now."
