czech,english
"Jen se dívám.","I'm just browsing."
"Máte to v jiné velikosti?","Do you have this in another size?"
"Máte to v jiné barvě?","Do you have this in another colour?"
"Mohu si to vyzkoušet?","Can I try it on?"
"Kde jsou kabinky?","Where are the changing rooms?"
"To mi sedí.","It fits me."
"Je mi to malé.","It's too small for me."
"Je mi to velké.","It's too big for me."
"Kolik stojí toto?","How much is this?"
"Je to ve slevě?","Is this on sale?"
"Můžu platit kartou?","Can I pay by card?"
"Máte drobné?","Do you have change?"
"Potřebuji účtenku.","I need a receipt."
"Můžu to vrátit?","Can I return it?"
"Hledám dárek.","I'm looking for a gift."
"Potřebuji něco praktického.","I need something practical."
"To je přesně ono.","That's exactly what I was looking for."
"Vezmu si to.","I'll take it."
"Rozmyslím si to.","I'll think about it."
"To je mimo můj rozpočet.","That's beyond my budget."
"Můžete mi pomoct s výběrem?","Can you help me choose?"
"Co doporučujete?","What do you recommend?"
"Co je dnes čerstvé?","What's fresh today?"
"Máte volný stůl?","Do you have a free table?"
"Stůl pro dva prosím.","A table for two please."
"Mohu se podívat na jídelní lístek?","Could I see the menu?"
"Dám si polévku.","I'll have the soup."
"Co si dáš?","What will you have?"
"Dám si totéž.","I'll have the same."
"Bez cibule prosím.","No onion please."
"Jsem vegetarián.","I'm vegetarian."
"Mám alergii na ořechy.","I'm allergic to nuts."
"Můžete mi doporučit něco bez masa?","Could you recommend something without meat?"
"Je to pálivé?","Is it spicy?"
"Je to příliš slané.","It's too salty."
"To chutná skvěle.","This tastes great."
"Můžu dostat ještě trochu vody?","Could I have some more water?"
"Mohu dostat účet?","Could I have the bill?"
"Můžeme platit zvlášť?","Can we pay separately?"
"Nechte si drobné.","Keep the change."
"Jídlo ještě není hotové.","The food isn't ready yet."
"Čekáme už dlouho.","We've been waiting for a long time."
"Objednal/a jsem si něco jiného.","I ordered something else."
"Tohle jsme si neobjednali.","We didn't order this."
"Můžete to zabalit s sebou?","Could you pack this to go?"
"Bylo to výborné.","It was delicious."
"Máte nějaký dezert?","Do you have any dessert?"
"Dáme si kávu?","Shall we have a coffee?"
