czech,english,block_id,grammar_chunk_id
stolní tenis,table tennis,,
značka,mark,,
povídání,chat,,
graf,chart,,
lžíce,spoon,,
polévková lžíce,tablespoon,,
oženit,marry,,
ženatý,married,,
tvář,cheek,,
muž,male,,
chilli,chilli,,
symbol,symbol,,
čistič,cleaner,,
jídelna,cafeteria,,
šílený,mad,,
klasický,classic,,
klasická hudba,classical music,,
plavky,swimming costume,,
plavky,swimsuit,,
požadovat,claim,,
holič,barber,,
kouzlo,magic,,
občan,citizen,,
hlavní chod,main course,,
já zavolám,I'll call,55,52
ty přijdeš,you'll come,55,52
on pomůže,he'll help,55,52
ona začne,she'll start,55,52
ono spadne,it'll fall,55,52
my počkáme,we'll wait,55,52
vy vyhrajete,you'll win,55,52
oni dorazí,they'll arrive,55,52
Zavolám ti po práci.,I'll call you after work.,,52
Přijdeš zítra ráno.,You'll come tomorrow morning.,,52
On ti pomůže s taškami.,He'll help you with the bags.,,52
Ona začne schůzku v devět.,She'll start the meeting at nine.,,52
"Sklenice spadne, když do ní strčíš.",It'll fall if you push it.,,52
Počkáme na další autobus.,We'll wait for the next bus.,,52
Vy ten zápas vyhrajete.,You'll win the match.,,52
Dorazí před obědem.,They'll arrive before lunch.,,52
