czech,english
"Kdybys byl na mém místě, co bys udělal?","If you were in my position, what would you do?"
"Na tvém místě bych to ještě jednou zvážil.","If I were you, I'd think it over once more."
"Kdybych měl více času, věnoval bych se tomu důkladněji.","If I had more time, I'd look into it more thoroughly."
"Kdybych to býval věděl, připravil bych se lépe.","If I'd known, I would have prepared better."
"Nemusel bys se stresovat, kdybys začal dřív.","You wouldn't have to stress if you started earlier."
"Co bys dělal, kdyby se tvůj plán nezdařil?","What would you do if your plan failed?"
"Kdyby pršelo, raději bych zůstal doma.","If it rained, I'd rather stay at home."
"Kdybychom se dohodli včas, ušetřili bychom spoustu problémů.","If we'd agreed in time, we'd have avoided a lot of problems."
"Kdyby nebylo jeho pomoci, nezvládl bych to.","If it weren't for his help, I couldn't manage it."
"Bez tvé podpory bych to vzdal.","Without your support, I would have given up."
"Mohl bys to zvládnout, kdybys měl správné nástroje.","You could manage it if you had the right tools."
"Mohli jsme přijít dřív, kdybychom věděli o změně.","We could have come earlier if we'd known about the change."
"Měl bys to udělat, dokud máš možnost.","You should do it while you have the chance."
"Neměl bys slíbit něco, co nemůžeš splnit.","You shouldn't promise something you can't deliver."
"Nemusel bys platit tolik, kdybys rezervoval předem.","You wouldn't have to pay so much if you booked in advance."
"Mohl bys mi dát vědět, kdyby se něco změnilo?","Could you let me know if anything changed?"
"Kdybych byl tebou, nebral bych to osobně.","If I were you, I wouldn't take it personally."
"Kdybych měl hádat, řekl bych, že přijde pozdě.","If I had to guess, I'd say he'll be late."
"Kdybych si měl vybrat, dal bych přednost první možnosti.","If I had to choose, I'd go with the first option."
"Kdyby to bylo na mně, nechal bych to být.","If it were up to me, I'd leave it alone."
"Kdyby šlo o mě, počkal bych na další informace.","If it were me, I'd wait for more information."
"Co kdybychom to odložili na příští týden?","What if we put it off until next week?"
"Co kdyby se ukázalo, že máme pravdu?","What if it turned out that we were right?"
"Co kdyby nikdo nepřišel?","What if nobody showed up?"
"I kdybych chtěl, nemohl bych s tím nic dělat.","Even if I wanted to, I couldn't do anything about it."
"I kdybych měl peníze, nekoupil bych si to.","Even if I had the money, I wouldn't buy it."
"Ať se stane cokoli, zůstanu na tvé straně.","Whatever happens, I'll stand by you."
"Ať uděláš cokoli, nejdřív si to promysli.","Whatever you do, think it through first."
"Kdyby náhodou něco potřeboval, zavolej mi.","If you happen to need anything, call me."
"Kdyby náhodou přišel, řekni mu, ať počká.","If he happens to come, tell him to wait."
"Nemyslím si, že by to bylo tak jednoduché.","I don't think it would be that simple."
"Bylo by lepší, kdybychom to probrali osobně.","It would be better if we discussed it in person."
"Bylo by rozumné mít připravený záložní plán.","It would be sensible to have a backup plan."
"Bylo by ode mě sobecké, kdybych odmítl.","It would be selfish of me to refuse."
"Ne že bych si stěžoval, ale mohlo to být levnější.","Not that I'm complaining, but it could have been cheaper."
"Ne že bych tomu nevěřil, jen potřebuji důkazy.","It's not that I don't believe it, I just need evidence."
"Kéž by věci byly tak jednoduché.","If only things were that simple."
"Kéž bych mohl vrátit čas.","If only I could turn back time."
"Kdybych se tak nebál udělat chybu.","If only I weren't so afraid of making a mistake."
"Neměl jsem to říkat, ale už je pozdě.","I shouldn't have said it, but it's too late now."
"Mohl jsem si to odpustit.","I could have done without that."
"Měl jsem se řídit tvou radou.","I should have followed your advice."
"Nemusel jsi to dělat kvůli mně.","You didn't have to do that for me."
"Nemusel jsem předstírat, že jsem v pořádku.","I didn't have to pretend I was fine."
"Mohlo to dopadnout mnohem hůř.","It could have been much worse."
"Mohlo to být úplně jinak.","It could have been completely different."
"Nikdy nevíš, co se může stát.","You never know what might happen."
"Kdybych měl možnost začít znovu, udělal bych to jinak.","If I had the chance to start over, I'd do it differently."
