czech,english,block_id,grammar_chunk_id
zejména,especially,,
limonáda,soda,,
udeřit,hit,,
hokej,hockey,,
východ,east,,
snadno,easily,,
ctižádost,ambition,,
za,beyond,,
zemětřesení,earthquake,,
náušnice,earring,,
už,anymore,,
měřítko,scale,,
zlepšit se,better,,
klobása,sausage,,
med,honey,,
čest,honour,,
omáčka,sauce,,
uspokojit,satisfy,,
nevěsta,bride,,
vánek,breeze,,
jednoho dne,someday,,
hiphop,hiphop,,
nealkoholický nápoj,soft drink,,
měkce,softly,,
já ještě neodešel,I hadn't left yet,75,72
ty jsi neskončil,you hadn't finished,75,72
on nejedl,he hadn't eaten,75,72
ona nepřijela,she hadn't arrived,75,72
ono se nerozbilo,it hadn't broken,75,72
my jsme nezapomněli,we hadn't forgotten,75,72
vy jste neviděli,you hadn't seen,75,72
oni neodešli,they hadn't gone,75,72
"Ještě jsem neodešel, když začala schůzka.",I hadn't left when the meeting started.,,72
Před obědem jsi práci nedokončil.,You hadn't finished the work before lunch.,,72
On před cestou nejedl.,He hadn't eaten before the journey.,,72
Ona do začátku filmu nepřijela.,She hadn't arrived by the start of the film.,,72
Počítač se do rána nerozbil.,It hadn't broken by morning.,,72
Nezapomněli jsme na jeho narozeniny.,We hadn't forgotten his birthday.,,72
Předtím jste ten film neviděli.,You hadn't seen the film before.,,72
"Neodešli, dokud neskončila hodina.",They hadn't gone until the lesson ended.,,72
