czech,english,block_id,grammar_chunk_id
diamant,diamond,,
hlubina,deep,,
socha,statue,,
rozprava,debate,,
brouk,bug,,
odejít do důchodu,retire,,
v důchodu,retired,,
dohoda,deal,,
rytmus,rhythm,,
denní světlo,daylight,,
ocenit,appreciate,,
místo toho,instead,,
jmenovat (do funkce),appoint,,
jmenování,appointment,,
okamžitý,instant,,
žaludek,stomach,,
bolest břicha,stomachache,,
bytost,being,,
vymyslet,invent,,
vynález,invention,,
návrat,return,,
hluboce,deeply,,
ukrást,steal,,
vykročit,step,,
Byl jsem připravený?,Was I ready?,49,45
Byl jsi unavený?,Were you tired?,49,45
Byl doma?,Was he at home?,49,45
Byla šťastná?,Was she happy?,49,45
Byla zima?,Was it cold?,49,45
Byli jsme pozdě?,Were we late?,49,45
Byli jste zaneprázdnění?,Were you busy?,49,45
Byli venku?,Were they outside?,49,45
Byl jsem připravený na včerejší zkoušku?,Was I ready for yesterday's exam?,,45
Byl jsi po cestě unavený?,Were you tired after the journey?,,45
Byl on včera doma?,Was he at home yesterday?,,45
Byla ona šťastná s novou prací?,Was she happy with the new job?,,45
Byla venku opravdu zima?,Was it really cold outside?,,45
Přišli jsme na schůzku pozdě?,Were we late for the meeting?,,45
Byli jste tehdy příliš zaneprázdnění?,Were you too busy then?,,45
Byli oni stále venku?,Were they still outside?,,45
