czech,english
"Mohl byste mi prosím vysvětlit, jak tento proces funguje?","Could you please explain how this process works?"
"Byl bych rád, kdybyste mi s tím mohl pomoci.","I'd appreciate it if you could help me with this."
"Mohl bys mi dát vědět co nejdříve?","Could you let me know as soon as possible?"
"Bylo by možné posunout termín?","Would it be possible to move the deadline?"
"Potřeboval bych ještě několik dní navíc.","I would need a few more days."
"Nejsem si jistý, jestli to dokážu dokončit včas.","I'm not sure I can finish it on time."
"Můžeme se k tomu vrátit po obědě?","Could we come back to this after lunch?"
"Než se rozhodneme, rád bych slyšel tvůj názor.","Before we decide, I'd like to hear your opinion."
"Nechci tě přerušovat, ale mám k tomu otázku.","I don't mean to interrupt you, but I have a question about it."
"Promiň, že ti do toho vstupuji.","Sorry to interrupt you."
"Mohl bys to formulovat trochu jinak?","Could you phrase that slightly differently?"
"Můžeš uvést konkrétní příklad?","Could you give a specific example?"
"Co přesně tím myslíš?","What exactly do you mean by that?"
"Chci se ujistit, že jsme se pochopili.","I want to make sure we're on the same page."
"Jestli tomu dobře rozumím, navrhuješ změnit celý plán.","If I understand correctly, you're suggesting we change the whole plan."
"To není úplně to, co jsem měl na mysli.","That's not quite what I had in mind."
"Myslím, že jsme se trochu odchýlili od tématu.","I think we've gone slightly off topic."
"Vraťme se prosím k původní otázce.","Let's get back to the original question."
"Nechci zacházet do přílišných podrobností.","I don't want to go into too much detail."
"Stručně řečeno, potřebujeme více času a lidí.","In short, we need more time and more people."
"Můžeme to probrat později podrobněji.","We can discuss it in more detail later."
"Nerad bych k tomu něco dodával bez ověření.","I wouldn't want to add anything without checking it first."
"Raději bych si nechal otevřené všechny možnosti.","I'd rather keep all the options open."
"Nechci se zavázat k něčemu, co nemůžeme splnit.","I don't want to commit to something we can't deliver."
"Musíme být realističtí ohledně toho, co zvládneme.","We need to be realistic about what we can achieve."
"Neměli bychom slibovat víc, než můžeme nabídnout.","We shouldn't promise more than we can offer."
"To zní rozumně, ale rád bych znal podrobnosti.","That sounds reasonable, but I'd like to know the details."
"Souhlasím v zásadě, ale mám několik výhrad.","I agree in principle, but I have a few reservations."
"Můžeme najít řešení, které bude přijatelné pro obě strany.","We can find a solution that's acceptable to both sides."
"Nejsem ochoten přistoupit na tyto podmínky.","I'm not willing to accept these terms."
"To je něco, o čem se můžeme bavit.","That's something we can negotiate."
"Potřebujeme si stanovit jasné hranice.","We need to set clear boundaries."
"Nechci, aby došlo k nedorozumění.","I don't want there to be a misunderstanding."
"Děkuji, že jste mi to objasnil.","Thank you for clarifying that."
"Omlouvám se za případné nedorozumění.","I apologize for any misunderstanding."
"Vezmu to v úvahu.","I'll take that into consideration."
"Dám si čas na rozmyšlenou.","I'll take some time to think it over."
"Nechám si to projít hlavou a ozvu se.","I'll think it over and get back to you."
"Potřebuji si ověřit několik skutečností.","I need to verify a few facts."
"Nechci učinit rozhodnutí pod tlakem.","I don't want to make a decision under pressure."
"Je důležité, abychom zůstali otevření dalším možnostem.","It's important that we remain open to other possibilities."
"Pokud se objeví nové informace, přehodnotíme situaci.","If new information comes to light, we'll reassess the situation."
"Nemůžeme vyloučit, že se plán ještě změní.","We can't rule out the possibility that the plan will change."
"Je příliš brzy na to, abychom dělali závěry.","It's too early to draw conclusions."
"Zatím nemáme dost důkazů, abychom to mohli potvrdit.","We don't have enough evidence to confirm it yet."
"Jakmile budeme mít jasno, budeme vás informovat.","As soon as we have a clear picture, we'll inform you."
"Děkuji za váš čas a trpělivost.","Thank you for your time and patience."
"Budu se těšit na naši další spolupráci.","I look forward to working with you again."
