czech,english
"Obvykle vstávám v sedm.","I usually get up at seven."
"Dnes jsem vstal brzy.","I got up early today."
"Musím se osprchovat.","I need to take a shower."
"Za chvíli budu hotový.","I'll be ready in a minute."
"Kde jsou moje klíče?","Where are my keys?"
"Nemůžu je najít.","I can't find them."
"Nechal jsem je na stole.","I left them on the table."
"Už jsi jedl?","Have you eaten yet?"
"Ještě jsem nejedl.","I haven't eaten yet."
"Dám si něco malého.","I'll have something small."
"Musím uklidit kuchyň.","I need to clean the kitchen."
"Udělám to později.","I'll do it later."
"Můžeš vynést odpadky?","Can you take out the rubbish?"
"Nezapomeň zamknout dveře.","Don't forget to lock the door."
"Vypni prosím světlo.","Please turn off the light."
"Nech to otevřené.","Leave it open."
"Je tu trochu nepořádek.","It's a bit messy in here."
"Potřebuji vyprat prádlo.","I need to do the laundry."
"Pračka právě běží.","The washing machine is running."
"Nemám čisté ponožky.","I don't have any clean socks."
"Kdy se vrátíš?","When will you be back?"
"Vrátím se večer.","I'll be back this evening."
"Jsem skoro doma.","I'm almost home."
"Jsem na cestě.","I'm on my way."
"Dnes pracuji z domova.","I'm working from home today."
"Mám hodně práce.","I have a lot of work to do."
"Dnes mám volno.","I'm off today."
"Potřebuji si odpočinout.","I need to relax."
"Půjdu si zdřímnout.","I'm going to take a nap."
"Nemám na to čas.","I don't have time for that."
"Mám ještě pár věcí na práci.","I still have a few things to do."
"Nechce se mi vstávat.","I don't feel like getting up."
"Jsem unavený.","I'm tired."
"Usnul jsem na gauči.","I fell asleep on the sofa."
"Včera jsem šel spát pozdě.","I went to bed late last night."
"Potřebuji více spánku.","I need more sleep."
"Zítra musím brzy vstávat.","I have to get up early tomorrow."
"Nastav mi prosím budík na šestou.","Set my alarm for six please."
"Snídaně je připravená.","Breakfast is ready."
"Káva je ještě horká.","The coffee is still hot."
"Můžeš zavřít okno?","Can you close the window?"
"Je tu zima.","It's cold in here."
"Je tu příliš horko.","It's too hot in here."
"Otevři prosím dveře.","Please open the door."
"Kde je koupelna?","Where's the bathroom?"
"Hned přijdu.","I'll be there in a moment."
"Už jdu.","I'm coming."
"Měj hezký večer.","Have a nice evening."
