czech,english,block_id,grammar_chunk_id
narození,birth,,
obě,both,,
zlomit,break,,
zlomený,broken,,
zvonek,bell,,
motýl,butterfly,,
smutný,blue,,
láhev,bottle,,
rána,blow,,
pryč,away,,
vytvořit,build,,
miska,bowl,,
nejlepší způsob,best,,
mozek,brain,,
štětec,brush,,
hamburger,burger,,
pláž,beach,,
aktivita,activity,,
fazole,bean,,
někdo,anybody,,
zadní,back,,
podpořit,back,,
sušenka,biscuit,,
narozeniny,birthday,,
já nespím,I'm not sleeping,44,40
ty neposloucháš,you aren't listening,44,40
on nepracuje,he isn't working,44,40
ona neřídí,she isn't driving,44,40
ono neprší,it isn't raining,44,40
my nečekáme,we aren't waiting,44,40
vy neplatíte,you aren't paying,44,40
oni nepřicházejí,they aren't coming,44,40
"Teď nespím, jen odpočívám.",I'm not sleeping; I'm just resting.,,40
Neposloucháš moje pokyny.,You aren't listening to my instructions.,,40
Dnes nepracuje z domova.,He isn't working from home today.,,40
Ona teď neřídí auto.,She isn't driving the car right now.,,40
Venku už neprší.,It isn't raining outside anymore.,,40
Nečekáme na vlak.,We're not waiting for the train.,,40
Neplatíte za objednávku.,You aren't paying for the order.,,40
Dnes večer nepřicházejí.,They aren't coming tonight.,,40
