czech,english
"Mám schůzku v deset.","I have a meeting at ten."
"Připojím se za chvíli.","I'll join in a moment."
"Můžeš mi poslat odkaz?","Can you send me the link?"
"Pošlu ti ho e-mailem.","I'll email it to you."
"Podívám se na to.","I'll take a look at it."
"Ozvu se ti později.","I'll get back to you later."
"Můžeme to probrat zítra?","Can we discuss it tomorrow?"
"Potřebuji více informací.","I need more information."
"To je důležitá otázka.","That's an important question."
"Máme nějaké novinky?","Do we have any updates?"
"Zatím nic nového.","Nothing new so far."
"Pracuji na tom.","I'm working on it."
"Už jsem to dokončil.","I've finished it."
"Ještě to není hotové.","It's not finished yet."
"Musíme to opravit.","We need to fix it."
"Kdo to má na starosti?","Who's responsible for it?"
"Já se o to postarám.","I'll take care of it."
"Můžeš mi s tím poradit?","Can you advise me on this?"
"Potřebuji tvůj názor.","I need your opinion."
"Souhlasím s tímto návrhem.","I agree with this proposal."
"Navrhuji jiný postup.","I suggest a different approach."
"To by mohlo fungovat.","That could work."
"Zkusme to jinak.","Let's try it another way."
"Začneme od začátku.","Let's start from the beginning."
"Kde jsme skončili?","Where did we leave off?"
"Můžeš to vysvětlit?","Can you explain it?"
"Zapiš si to prosím.","Please write it down."
"Udělal jsem si poznámku.","I made a note of it."
"Potřebuji přestávku.","I need a break."
"Dáme si pauzu?","Shall we take a break?"
"Jdu na oběd.","I'm going to lunch."
"Budu zpátky ve dvě.","I'll be back at two."
"Mám dnes hodně schůzek.","I have a lot of meetings today."
"Tento úkol je naléhavý.","This task is urgent."
"Kdy je termín?","What's the deadline?"
"Stihneme to včas.","We'll finish it on time."
"Nestihl jsem to.","I didn't manage to finish it."
"Potřebuji ještě jeden den.","I need one more day."
"Můžeš to zkontrolovat?","Can you check it?"
"Vypadá to dobře.","It looks good."
"Něco tu chybí.","Something is missing here."
"Našel jsem chybu.","I found a mistake."
"Teď už tomu rozumím.","I understand it now."
"Co se od nás očekává?","What is expected of us?"
"To není moje odpovědnost.","That's not my responsibility."
"Jsem na to hrdý.","I'm proud of it."
"Uvidíme se na schůzce.","See you at the meeting."
"Hodně štěstí u zkoušky.","Good luck with the exam."
