czech,english
"Těší mě.","Nice to meet you."
"Jak to jde?","How's it going?"
"Docela dobře.","Pretty good."
"Ujde to.","Not bad."
"Uvidíme se později.","See you later."
"Měj se.","Take care."
"Užij si víkend.","Have a good weekend."
"Užij si den.","Enjoy your day."
"Co tě sem přivádí?","What brings you here?"
"Jen se rozhlížím.","I'm just looking around."
"Je toto místo volné?","Is this seat taken?"
"Posaď se prosím.","Please have a seat."
"Udělej si pohodlí.","Make yourself at home."
"Klidně se ptej.","Feel free to ask."
"Nech mě přemýšlet.","Let me think."
"Dej mi vteřinu.","Give me a second."
"Podívám se.","I'll check."
"Dám ti vědět.","I'll let you know."
"To dává smysl.","That makes sense."
"Chápu, co myslíš.","I see what you mean."
"Přesně tak.","Exactly."
"Ne tak docela.","Not exactly."
"Máš pravdu.","You're right."
"Tím si nejsem jistý.","I'm not sure about that."
"Na tom nezáleží.","It doesn't matter."
"Je to na tobě.","It's up to you."
"Cokoli ti vyhovuje.","Whatever works for you."
"To se mi ulevilo.","That's a relief."
"To je ale překvapení.","What a surprise."
"Opravdu?","Really?"
"Myslíš to vážně?","Are you serious?"
"To snad ne!","No way!"
"Samozřejmě.","Of course."
"Proč ne?","Why not?"
"Možná později.","Maybe later."
"Ještě ne.","Not yet."
"Skoro.","Almost."
"Asi ano.","I suppose so."
"Doufám že ano.","I hope so."
"Doufám že ne.","I hope not."
"To ti přeji.","Good for you."
"Ty se máš.","Lucky you."
"Výborně.","Well done."
"Jen tak dál.","Keep it up."
"Odvedl/a jsi skvělou práci.","You did a great job."
"Vážím si toho.","I appreciate it."
"Díky že jsi mi dal vědět.","Thanks for letting me know."
"To mi moc pomohlo.","That helps a lot."
