czech,english
"Je to trochu nad můj rozpočet.","It's slightly beyond my budget."
"Můžeme se domluvit na lepší ceně?","Could we agree on a better price?"
"Nechci utratit víc, než si můžu dovolit.","I don't want to spend more than I can afford."
"Tohle je za ty peníze opravdu výhodná koupě.","This is really good value for money."
"Nestojí to za ty peníze.","It's not worth the money."
"Je to sice dražší, ale vydrží to déle.","It's more expensive, but it will last longer."
"Dostal jsem se do finančních potíží.","I've run into financial difficulties."
"Snažím se každý měsíc něco ušetřit.","I'm trying to save something every month."
"Musíme snížit zbytečné výdaje.","We need to cut unnecessary expenses."
"Nechci se zadlužit kvůli něčemu takovému.","I don't want to get into debt over something like this."
"Mám toho v poslední době nad hlavu.","I've had a lot on my plate lately."
"Potřebuji si trochu vydechnout.","I need to take a breather."
"Jsem úplně vyčerpaný z toho, jak pořád něco řeším.","I'm exhausted from constantly having to deal with things."
"Musím si dát pozor, abych se nepřetížil.","I need to be careful not to overdo it."
"Snažím se najít lepší rovnováhu mezi prací a osobním životem.","I'm trying to find a better work-life balance."
"Mám problém držet krok se vším, co se děje.","I'm struggling to keep up with everything that's going on."
"Čas od času potřebuji úplně vypnout.","Every now and then I need to switch off completely."
"Nemůžu pořád odkládat vlastní potřeby.","I can't keep putting my own needs aside."
"Je nejvyšší čas s tím něco udělat.","It's high time we did something about it."
"Raději bych to neriskoval.","I'd rather not take the risk."
"To by mohlo mít vážné následky.","That could have serious consequences."
"Není důvod panikařit.","There's no reason to panic."
"Situace není zdaleka tak špatná, jak vypadá.","The situation is nowhere near as bad as it looks."
"To je jen špička ledovce.","That's just the tip of the iceberg."
"Nechci přilévat olej do ohně.","I don't want to add fuel to the fire."
"Nechme staré křivdy minulosti.","Let's leave old grudges in the past."
"To už je dávno za námi.","That's long behind us."
"Tohle je úplně jiná liga.","This is in a completely different league."
"V tomhle směru jsme na stejné lodi.","We're in the same boat in this respect."
"Musíme se přizpůsobit situaci.","We need to adapt to the situation."
"Nemůžeš mít všechno.","You can't have it both ways."
"Nemůžeš zavděčit všem.","You can't please everyone."
"Každá mince má dvě strany.","Every coin has two sides."
"To je jen otázka času.","It's only a matter of time."
"Lépe pozdě než nikdy.","Better late than never."
"Nejsem si jistý, jestli to stojí za námahu.","I'm not sure it's worth the effort."
"To se snadněji řekne, než udělá.","That's easier said than done."
"To je přesně ten problém.","That's exactly the problem."
"To mi vyrazilo dech.","That took my breath away."
"Nemám ponětí, co tím sleduje.","I haven't got a clue what he's trying to achieve."
"To mi vůbec nedává smysl.","That doesn't make any sense to me at all."
"Nedělej z komára velblouda.","Don't make a mountain out of a molehill."
"Nechci chodit kolem horké kaše.","I don't want to beat around the bush."
"Řekněme si to na rovinu.","Let's be honest about it."
"To je úplně mimo mísu.","That's completely beside the point."
"Trefil jsi hřebíček na hlavičku.","You hit the nail on the head."
"To je pro mě novinka.","That's news to me."
"Na tom není nic špatného.","There's nothing wrong with that."
