czech,english
"Nechtěl jsem, aby to vyznělo neslušně.","I didn't mean for it to sound rude."
"Možná jsem to vzal příliš osobně.","Maybe I took it too personally."
"Neměl jsem v úmyslu tě ranit.","I didn't mean to hurt you."
"Chápu, proč tě to naštvalo.","I understand why it upset you."
"Mrzí mě, že jsem tě zklamal.","I'm sorry I let you down."
"Měl jsem ti říct pravdu hned.","I should have told you the truth straight away."
"Nechci mezi námi vytvářet napětí.","I don't want to create tension between us."
"Potřebujeme si o tom v klidu promluvit.","We need to talk about it calmly."
"Raději bychom to vyřešili mezi čtyřma očima.","We'd rather sort this out in private."
"Nechci, aby to ovlivnilo naše přátelství.","I don't want this to affect our friendship."
"Záleží mi na tom, co si myslíš.","I care about what you think."
"Vážím si toho, že jsi ke mně upřímný.","I appreciate you being honest with me."
"Můžu se na tebe v této věci spolehnout?","Can I rely on you in this matter?"
"Nejsem si jistý, jestli ti můžu věřit.","I'm not sure I can trust you."
"Potřebuji si udržet trochu odstup.","I need to keep a bit of distance."
"Nechci do toho zasahovat.","I don't want to interfere."
"Tohle není moje věc.","This is none of my business."
"Neměl by ses do toho plést.","You shouldn't get involved in this."
"Můžeš se mnou mluvit otevřeně.","You can speak openly with me."
"Nemusíš přede mnou nic předstírat.","You don't have to pretend around me."
"Vím, jak se cítíš.","I know how you feel."
"Nedokážu si představit, čím procházíš.","I can't imagine what you're going through."
"Muselo to pro tebe být velmi těžké.","It must have been very difficult for you."
"Dej si tolik času, kolik potřebuješ.","Take as much time as you need."
"Nemusíš se rozhodnout hned.","You don't have to decide right away."
"Jsem tu pro tebe, kdybys mě potřeboval.","I'm here for you if you need me."
"Můžeš se mi kdykoli ozvat.","You can get in touch with me anytime."
"Nechci na tebe vyvíjet tlak.","I don't want to put pressure on you."
"Rozhodnutí musí být nakonec tvoje.","The decision has to be yours in the end."
"Podpořím tě, ať se rozhodneš jakkoli.","I'll support you whatever you decide."
"Nechci se vracet k tomu, co už se stalo.","I don't want to go back over what's already happened."
"Musíme se z toho poučit a jít dál.","We need to learn from it and move on."
"Nemá cenu si pořád něco vyčítat.","There's no point in blaming yourself all the time."
"Nemůžeme změnit minulost.","We can't change the past."
"Můžeme ale ovlivnit, co uděláme teď.","But we can influence what we do now."
"Nechci dělat, že je všechno v pořádku.","I don't want to pretend everything is fine."
"Potřebuji si vyčistit hlavu.","I need to clear my head."
"Musím si od toho na chvíli odpočinout.","I need to take a break from it for a while."
"Tohle jsem opravdu nečekal.","I really didn't see this coming."
"Zaskočilo mě, jak rychle se to změnilo.","I was taken aback by how quickly it changed."
"Byl jsem z toho úplně vyčerpaný.","I was completely drained by it."
"Překvapilo mě, jak klidně zareagoval.","I was surprised by how calmly he reacted."
"Měl jsem smíšené pocity.","I had mixed feelings."
"Část mě chtěla odejít, ale část chtěla zůstat.","Part of me wanted to leave, but part of me wanted to stay."
"Teď už se na to dokážu dívat jinak.","I can look at it differently now."
"Nakonec jsem rád, že jsem to nevzdal.","In the end I'm glad I didn't give up."
"Jsem vděčný, že jsi při mně stál.","I'm grateful that you stood by me."
"To pro mě znamená víc, než si myslíš.","That means more to me than you think."
