czech,english
"Co rád děláš ve volném čase?","What do you like doing in your free time?"
"Jaký druh hudby posloucháš?","What kind of music do you listen to?"
"Jaký film jsi viděl naposledy?","What was the last film you saw?"
"Četl jsi tu knihu?","Have you read that book?"
"To je moje oblíbená písnička.","This is my favourite song."
"Máš rád vaření?","Do you like cooking?"
"Umíš dobře vařit?","Are you good at cooking?"
"Pojďme něco podniknout.","Let's do something."
"Chceš se přidat?","Do you want to join us?"
"Rád bych se přidal.","I'd love to join you."
"Dnes večer nemůžu.","I can't make it tonight."
"Co třeba v pátek?","How about Friday?"
"To se mi hodí.","That works for me."
"Dej mi vědět.","Let me know."
"Uvidíme se později.","See you later."
"Zavolám ti večer.","I'll call you this evening."
"Pošlu ti zprávu.","I'll send you a message."
"Ozvi se mi.","Get in touch with me."
"Jak se má tvoje rodina?","How's your family?"
"Všichni se mají dobře.","Everyone is doing well."
"Jak dlouho se znáte?","How long have you known each other?"
"Známe se ze školy.","We know each other from school."
"To je můj dobrý kamarád.","This is my good friend."
"Už jste se potkali?","Have you two met?"
"Rád si s tebou povídám.","I enjoy talking to you."
"To je zajímavý příběh.","That's an interesting story."
"Co se stalo?","What happened?"
"To mě mrzí.","I'm sorry to hear that."
"To muselo být těžké.","That must have been difficult."
"To je skvělá zpráva.","That's great news."
"Gratuluji ti.","Congratulations."
"Jsem za tebe rád.","I'm happy for you."
"Držím ti palce.","I'm keeping my fingers crossed for you."
"Ať se ti daří.","I wish you all the best."
"Neber si to osobně.","Don't take it personally."
"Jen si dělám legraci.","I'm just kidding."
"To jsem nemyslel vážně.","I didn't mean it."
"Chápu tě.","I understand how you feel."
"Máš pravdu.","You have a point."
"To je fér.","That's fair."
"To není fér.","That's not fair."
"Můžeme se dohodnout.","We can work something out."
"Nechme to být.","Let's leave it at that."
"Změňme téma.","Let's change the subject."
"Co tím myslíš?","What do you mean by that?"
"Můžeš to říct jinak?","Can you put it another way?"
"Rád bych tě pozval.","I'd like to invite you."
"Přijdeš na návštěvu?","Will you come over?"
