czech,english
"Můžete mi prosím potvrdit rezervaci?","Could you please confirm my reservation?"
"Rezervoval jsem si pokoj na tři noci.","I booked a room for three nights."
"Je v ceně zahrnuta snídaně?","Is breakfast included in the price?"
"Chtěl bych se zeptat na možnost pozdějšího odhlášení.","I'd like to ask about the possibility of a late check-out."
"Mohl by někdo přijít zkontrolovat klimatizaci?","Could someone come and check the air conditioning?"
"Pokoj neodpovídá tomu, co bylo uvedeno v nabídce.","The room doesn't match what was described in the listing."
"Můžete mi nabídnout jiný pokoj?","Could you offer me a different room?"
"Rád bych podal stížnost.","I'd like to make a complaint."
"Můžete mi vysvětlit, co se stalo?","Could you explain what happened?"
"Chci se ujistit, že tomu správně rozumím.","I want to make sure I understand correctly."
"Kde si mohu vyzvednout zavazadla?","Where can I collect my luggage?"
"Moje zavazadlo bylo při letu poškozeno.","My luggage was damaged during the flight."
"Vyplnil jsem reklamační formulář.","I filled out a claim form."
"Jak dlouho obvykle trvá vyřízení?","How long does it usually take to process?"
"Potřebuji se dostat na nástupiště číslo šest.","I need to get to platform six."
"Je tento vlak přímý, nebo musím přestupovat?","Is this train direct, or do I have to change?"
"Nestihl jsem spoj kvůli zpoždění předchozího vlaku.","I missed my connection because the previous train was delayed."
"Bude tato jízdenka platit i na další spoj?","Will this ticket be valid for the next connection too?"
"Kde si mohu koupit kartu na veřejnou dopravu?","Where can I buy a public transport card?"
"Můžete mi označit, kde se nacházíme?","Could you show me where we are on the map?"
"Nejsem si jistý, jestli jedu správným směrem.","I'm not sure I'm going in the right direction."
"Můžete mi říct, kde mám vystoupit?","Could you tell me where I should get off?"
"Kolik zastávek ještě zbývá?","How many stops are left?"
"Měli bychom si pospíšit, jinak nám ujede autobus.","We should hurry, or we'll miss the bus."
"Raději bychom si předem ověřili otevírací dobu.","We'd rather check the opening hours in advance."
"Je nutné si vstupenky rezervovat předem?","Is it necessary to book tickets in advance?"
"Kolik času potřebujeme na prohlídku?","How much time do we need for the tour?"
"Můžeme si tu nechat zavazadla do večera?","Can we leave our luggage here until this evening?"
"Je možné zaplatit při příjezdu?","Is it possible to pay on arrival?"
"Přijeli jsme o den dříve, než jsme plánovali.","We arrived a day earlier than planned."
"Kvůli počasí jsme museli změnit itinerář.","We had to change our itinerary because of the weather."
"Ztratili jsme hodinu hledáním správné cesty.","We lost an hour looking for the right route."
"Nakonec jsme se rozhodli zůstat ještě jednu noc.","In the end we decided to stay for one more night."
"Cesta trvala déle, než jsme očekávali.","The journey took longer than we expected."
"Naštěstí jsme dorazili včas.","Fortunately, we arrived on time."
"Bohužel jsme museli celý výlet zrušit.","Unfortunately, we had to cancel the whole trip."
"Můžete nám doporučit méně turistické místo?","Could you recommend a less touristy place?"
"Hledáme restauraci, kde se dobře najíme za rozumnou cenu.","We're looking for a restaurant where we can get a good meal at a reasonable price."
"Je bezpečné chodit po této oblasti večer?","Is it safe to walk around this area in the evening?"
"Měli bychom si vzít s sebou hotovost?","Should we take some cash with us?"
"Nevěděli jsme, že je vstup povolený pouze s průvodcem.","We didn't know that entry was only allowed with a guide."
"Můžeme si rezervaci změnit na jiný termín?","Can we change the reservation to a different date?"
"Potřebuji zrušit svou rezervaci kvůli změně plánů.","I need to cancel my reservation because my plans have changed."
"Byl bych rád, kdybyste mi poslali potvrzení e-mailem.","I'd appreciate it if you could send me confirmation by email."
"Dejte mi prosím vědět, pokud se něco změní.","Please let me know if anything changes."
"Celkově jsme byli s pobytem velmi spokojeni.","Overall, we were very happy with our stay."
"Určitě bychom se sem někdy vrátili.","We'd definitely come back here someday."
"Kdybychom si to ověřili předem, vyhnuli bychom se zdržení.","If we'd checked it in advance, we would have avoided the delay."
