czech,english
"Můžeš se na to podívat, až budeš mít čas?","Could you look into it when you have time?"
"Musím zjistit, co se pokazilo.","I need to find out what went wrong."
"Ukázalo se, že problém byl jinde.","It turned out that the problem was somewhere else."
"Nechci to odkládat na poslední chvíli.","I don't want to put it off until the last minute."
"Musíme přijít na to, jak to funguje.","We need to figure out how it works."
"Můžeš to prosím projít ještě jednou?","Could you go through it one more time?"
"Všechno si zapiš, abys na nic nezapomněl.","Write everything down so you don't forget anything."
"Narazil jsem na několik nečekaných problémů.","I ran into several unexpected problems."
"Můžeš to trochu zjednodušit?","Could you simplify it a little?"
"Nechci, aby ses do toho pustil bez přípravy.","I don't want you to take it on without preparing."
"Pojďme si nejdřív ujasnit priority.","Let's clarify our priorities first."
"Musíme se vypořádat s několika překážkami.","We need to deal with several obstacles."
"Nějak to zvládneme.","We'll work something out."
"Nevím, jak se z toho dostat.","I don't know how to get out of this."
"Můžeš mě vyzvednout cestou?","Could you pick me up on your way?"
"Vysadím tě u vchodu.","I'll drop you off at the entrance."
"Dojdu si pro to později.","I'll go and get it later."
"Zavolám ti zpátky, jakmile skončím.","I'll call you back as soon as I finish."
"Ozvu se, až se něco dozvím.","I'll get back to you when I hear something."
"Nemůžu se rozhodnout mezi těmito dvěma možnostmi.","I can't choose between these two options."
"Nakonec jsem se přiklonil k levnější variantě.","In the end I went for the cheaper option."
"Nechci přijít o tuto příležitost.","I don't want to miss this opportunity."
"Musíš si hlídat, kolik utrácíš.","You need to keep track of how much you spend."
"Snažím se omezit používání telefonu.","I'm trying to cut down on using my phone."
"Měl bys přestat se tím trápit.","You should stop worrying about it."
"Nevzdávej to jen proto, že to nejde hned.","Don't give up just because it doesn't work straight away."
"Musím dohnat práci, kterou jsem zameškal.","I need to catch up on the work I missed."
"Zůstaň v kontaktu a dej mi vědět, jak to jde.","Keep in touch and let me know how it goes."
"Nečekal jsem, že na něj narazím.","I didn't expect to run into him."
"Připomnělo mi to, že musím zavolat rodičům.","It reminded me that I need to call my parents."
"Nemůžu přijít na to, proč to nefunguje.","I can't work out why it isn't working."
"Kdo se postará o děti, když budeme pryč?","Who's going to look after the children while we're away?"
"Pohlídám ti tašku, zatímco si něco koupíš.","I'll look after your bag while you buy something."
"Nedívej se na to tak pesimisticky.","Don't look at it so pessimistically."
"Musíme se držet původního plánu.","We need to stick to the original plan."
"Všechno nakonec dobře dopadlo.","Everything worked out in the end."
"Přestaň se vymlouvat a pusť se do práce.","Stop making excuses and get on with your work."
"Přinesl jsem si něco k jídlu.","I brought something to eat."
"Můžeš mi s tím pomoct, než odejdeš?","Can you help me with this before you leave?"
"Zkontroluj si, jestli jsi všechno vypnul.","Check that you've switched everything off."
"Nezapomeň si vyzvednout balíček.","Don't forget to pick up your parcel."
"Můžeš to odnést do kuchyně?","Can you take it through to the kitchen?"
"Došlo nám mléko.","We've run out of milk."
"Musím doplnit benzín.","I need to fill up with petrol."
"Vydrž ještě chvíli.","Hang on a little longer."
"Zkus to znovu od začátku.","Try it again from the beginning."
"Nevyšlo to podle mých představ.","It didn't turn out the way I expected."
"Přijdu na to, jak to napravit.","I'll figure out how to put it right."
