czech,english
"Co si o tom myslíš?","What do you think about it?"
"Podle mě je to dobrý nápad.","I think it's a good idea."
"Nejsem si tím jistý.","I'm not sure about it."
"Zní to rozumně.","That sounds reasonable."
"To podle mě není správné.","I don't think that's right."
"Mám na to jiný názor.","I have a different opinion."
"Chápu tvůj pohled.","I see your point."
"V tom s tebou nesouhlasím.","I disagree with you on that."
"To je zajímavý pohled.","That's an interesting perspective."
"Musíme zvážit všechny možnosti.","We need to consider all the options."
"Je tu ještě jedna možnost.","There's another option."
"Co kdybychom to zkusili?","What if we tried it?"
"To stojí za zkoušku.","It's worth a try."
"Nemáme co ztratit.","We've got nothing to lose."
"To nebude snadné.","It won't be easy."
"Zvládneme to.","We'll manage."
"Všechno bude v pořádku.","Everything will be fine."
"Věřím ti.","I believe in you."
"Spoléhám na tebe.","I'm counting on you."
"Potřebuji být upřímný.","I need to be honest."
"Abych pravdu řekl …","To be honest ..."
"Upřímně řečeno…","Honestly ..."
"Nechci tě zklamat.","I don't want to let you down."
"Nechtěl jsem tě urazit.","I didn't mean to offend you."
"To nebyl můj záměr.","That wasn't my intention."
"Můžeš mi říct pravdu?","Can you tell me the truth?"
"Řekni mi, co se stalo.","Tell me what happened."
"Neříkej to nikomu.","Don't tell anyone."
"Je to mezi námi.","It's between us."
"Slibuješ?","Do you promise?"
"Slibuji.","I promise."
"To dává smysl.","That makes sense."
"To nedává smysl.","That doesn't make sense."
"Zkusím to vysvětlit.","I'll try to explain it."
"Neumím to vysvětlit.","I can't explain it."
"Mluvím vážně.","I'm serious."
"Jenom se ptám.","I'm just asking."
"Nechci se hádat.","I don't want to argue."
"Uklidni se prosím.","Please calm down."
"Dejte mi prosím vědět.","Please let me know."
"Můžeme si o tom promluvit?","Can we talk about it?"
"Potřebujeme si to vyjasnit.","We need to clear this up."
"Dej mi chvíli na rozmyšlenou.","Give me a moment to think."
"Nechci na tebe tlačit.","I don't want to pressure you."
"Rozhodnutí je na tobě.","The decision is up to you."
"Udělej co uznáš za vhodné.","Do whatever you think is best."
"To mě opravdu potěšilo.","That really made me happy."
"Jsem rád, že to slyším.","I'm glad to hear that."
