czech,english
"Co máš v plánu?","What are your plans?"
"Co budeš dělat o víkendu?","What are you doing this weekend?"
"Mám volný večer.","I'm free this evening."
"Jsem zaneprázdněný/á.","I'm busy."
"Kdy se ti to hodí?","When is convenient for you?"
"Hodí se mi pondělí.","Monday works for me."
"Sejdeme se v šest.","Let's meet at six."
"Kde se sejdeme?","Where shall we meet?"
"Sejdeme se před kavárnou.","Let's meet in front of the café."
"Nezapomeň na naši schůzku.","Don't forget our appointment."
"Musíme to naplánovat.","We need to plan it."
"Udělejme si seznam.","Let's make a list."
"Co bude první?","What comes first?"
"Začneme v devět.","We'll start at nine."
"Skončíme kolem páté.","We'll finish around five."
"Přijdu o něco později.","I'll arrive a little later."
"Mám zpoždění.","I'm running late."
"Už jsi na místě?","Are you there yet?"
"Jsem před budovou.","I'm outside the building."
"Nemůžu tě najít.","I can't find you."
"Kde přesně jsi?","Where exactly are you?"
"Jsem u hlavního vchodu.","I'm by the main entrance."
"Promiň za zpoždění.","Sorry I'm late."
"Nic se neděje.","No worries."
"Změnily se moje plány.","My plans have changed."
"Musím to odložit.","I have to put it off."
"Můžeme to přesunout?","Can we reschedule it?"
"Zrušili mi schůzku.","My appointment was cancelled."
"Potvrdíš mi to?","Can you confirm it?"
"Potvrzuji to.","I confirm it."
"Připomeneš mi to?","Can you remind me?"
"Nastavím si připomínku.","I'll set a reminder."
"Dej mi vědět do zítřka.","Let me know by tomorrow."
"Ozvu se ti do konce týdne.","I'll get back to you by the end of the week."
"Mám před sebou náročný týden.","I have a busy week ahead."
"Příští týden mám čas.","I'm free next week."
"To můžeme vyřešit později.","We can deal with that later."
"Nechme to na zítřek.","Let's leave it until tomorrow."
"Čas rychle letí.","Time flies."
"Už je pozdě.","It's getting late."
"Ještě není pozdě.","It's not too late."
"Máme spoustu času.","We have plenty of time."
"Nemáme moc času.","We don't have much time."
"Udělej to co nejdřív.","Do it as soon as possible."
"Nespěchej.","Take your time."
"Uvidíme, jak to dopadne.","We'll see how it goes."
"To se ještě uvidí.","We'll see about that."
"Těším se na to.","I'm looking forward to it."
