czech,english,block_id,grammar_chunk_id
policista,policeman,,
policistka,policewoman,,
sirotek,orphan,,
centimetr,centimetre,,
kampus,campus,,
zdvořilý,polite,,
příležitost,opportunity,,
politický,political,,
zamýšlet,mean,,
oponovat,oppose,,
kempování,camping,,
talent,talent,,
naproti,opposite,,
původní,original,,
břeh řeky,bank,,
schopnost,ability,,
cent,cent,,
význam,meaning,,
dětské hřiště,playground,,
sebe,ourselves,,
hravý,playful,,
realizovat,realise,,
psycholog,psychologist,,
chybějící,missing,,
