czech,english,block_id,grammar_chunk_id
balit,pack,,
balíček,pack,,
dálnice,motorway,,
osobnost,personality,,
Pacifik,pacific,,
nepříjemný,uncomfortable,,
tip,tip,,
předpovědět,predict,,
předpověď,prediction,,
atom,atom,,
rozsah,range,,
jízdní řád,timetable,,
většinou,mostly,,
čerpací stanice,petrol station,,
inzerovat,advertise,,
inzerát,advertisement,,
až do,till,,
vlastně,actually,,
pozadí,background,,
invalidní vozík,wheelchair,,
plocha,area,,
vražda,murder,,
pokročilý,advanced,,
pláštěnka,raincoat,,
