czech,english,block_id,grammar_chunk_id
poslední,latter,,
autobusová zastávka,bus stop,,
pohodlné,convenient,,
levice,left,,
licence,licence,,
lež,lie,,
podnikatel,businessman,,
superlativ,superlative,,
životní styl,lifestyle,,
superstar,superstar,,
komponovat,compose,,
skladatel,composer,,
večeře,supper,,
v podstatě,basically,,
soustředit se,concentrate,,
kompletní,complete,,
stěžovat si,complain,,
stížnost,complaint,,
soutěžit,compete,,
soutěž,competition,,
ret,lip,,
porovnat,compare,,
srovnávací,comparative,,
komunikovat,communicate,,
