czech,english,block_id,grammar_chunk_id
zóna,zone,,
výzva,challenge,,
šampaňské,champagne,,
bankovnictví,banking,,
mistr,champion,,
mistrovství,championship,,
velké písmeno,capital letter,,
kapitál,capital,,
odkazovat,refer,,
objednat,order,,
portrét,portrait,,
populace,population,,
kapitola,chapter,,
příjem,receipt,,
znečišťovat,pollute,,
max,max,,
plechovka,can,,
recyklovat,recycle,,
zbytečné,unnecessary,,
jo,yeah,,
nepříjemný,unpleasant,,
provozovat,operate,,
policejní důstojník,police officer,,
policejní stanici,police station,,
