czech,english,block_id,
u silnice,roadside,,
severozápadní,northwest,,
severozápadní,northwestern,,
hádanka,puzzle,,
infekce,infection,,
tleskat,applaud,,
robot,robot,,
jednotlivec,individual,,
notoricky známý,notorious,,
nepřímo,indirectly,,
přírůstek,increase,,
ošetřovat,nurse,,
četné,numerous,,
stále více,increasingly,,
čistý,pure,,
neuvěřitelný,incredible,,
neuvěřitelně,incredibly,,
očistit,purify,,
veřejně,publicly,,
jádro,nucleus,,
válcování,rolling,,
nikde,nowhere,,
neurčitý článek,indefinite article,,
romanopisec,novelist,,
peněženka,purse,,
chuť,appetite,,
nepřímý,indirect,,
jaderný,nuclear,,
urážlivý,offensive,,
zřícenina,ruin,,
narušit,impair,,
pokusit,attempt,,
losos,salmon,,
vlhký,humid,,
prodavač,salesman,,
otevírací,opening,,
humor,humour,,
vtipný,humorous,,
hlad,hunger,,
přísloví,proverb,,
na jevišti,onstage,,
spěšně,hurriedly,,
člověk,human,,
lidstvo,humanity,,
obrovský,huge,,
orchestr,orchestra,,
obíhat,orbit,,
ochrana,protection,,
