czech,english,block_id,
magický,magical,,
kouzelník,magician,,
velkolepý,magnificent,,
grilovat,barbecue,,
poslat poštou,mail,,
zotavit se,recover,,
zotavení,recovery,,
poštovní schránka,mailbox,,
přemýšlet,meditate,,
rozjímání,meditation,,
opravit,mend,,
memorovat,memorise,,
regulovat,regulate,,
nařízení,regulation,,
památný,memorable,,
členství,membership,,
loajální,loyal,,
věrnost,loyalty,,
tát,melt,,
sotva,barely,,
zavazadla,luggage,,
záznam,recording,,
prostředí,medium,,
střední,medium,,
plíce,lung,,
Středomoří,Mediterranean,,
luxus,luxury,,
recyklovaný,recycled,,
smysluplné,meaningful,,
matematik,mathematician,,
snížit,reduce,,
snížení,reduction,,
osvěžit,refresh,,
osvěžující,refreshing,,
osvěžující,refreshingly,,
občerstvení,refreshments,,
javor,maple,,
mramor,marble,,
pochodovat,march,,
námořní,marine,,
výrazný,marked,,
útes,reef,,
masivní,massive,,
rozhodčí,referee,,
odraz,reflection,,
vrácení peněz,refund,,
zamítnutí,refusal,,
matematika,mathematics,,
