czech,english,block_id,
ústní,oral,,
ochranný,protective,,
navíc,besides,,
domácnost,household,,
ohnutý,bent,,
volba,option,,
písek,sand,,
práce v domácnosti,housework,,
protest,protest,,
utlačovat,oppress,,
útlak,oppression,,
protější,opposite,,
opozice,opposition,,
sandál,sandal,,
infinitiv,infinitive,,
opice,ape,,
chata,hut,,
nelegálně,illegally,,
nemoc,illness,,
osvětlit,illuminate,,
přistávací dráha,runway,,
hospoda,pub,,
imaginární,imaginary,,
uprchlý,runaway,,
napodobit,imitate,,
omluva,apology,,
bezprostřední,immediate,,
veřejnost,public,,
oficiálně,officially,,
přistěhovat se,immigrate,,
přistěhovalectví,immigration,,
zdánlivý,apparent,,
hromadnou dopravou,public transport,,
mastný,oily,,
staromódní,old-fashioned,,
ignorovat,ignore,,
psychologický,psychological,,
bezpečnost,safety,,
bezpečně,safely,,
prospěch,benefit,,
lední hokej,ice hockey,,
pokud,provided,,
bruslení na ledě,ice skating,,
záruka,safeguard,,
přitahovat,attract,,
safari,safari,,
pod,beneath,,
smutek,sadness,,
