czech,english,block_id,
záření,radiation,,
svetr,jumper,,
shnilý,rotten,,
překážka,obstacle,,
pulovr,pullover,,
čerpadlo,pump,,
pozorovat,observe,,
pozorování,observation,,
objekt,object,,
objektivní,objective,,
námitka,objection,,
potrestat,punish,,
trest,punishment,,
incident,incident,,
včetně,including,,
příjem,income,,
štěně,puppy,,
výživa,nutrition,,
výživný,nutritious,,
zlepšení,improvement,,
zřejmé,obvious,,
hrubě,rudely,,
odvolání,appeal,,
odpadky,rubbish,,
pryž,rubber,,
vydavatel,publisher,,
dojít,occur,,
obsadit,occupy,,
mše,mass,,
rutina,routine,,
impozantní,impressive,,
příležitost,occasion,,
příležitostné,occasional,,
zaokrouhlit,round,,
nevhodné,improper,,
samozřejmě,obviously,,
nevyhovující,inconvenient,,
živina,nutrient,,
nesprávný,incorrect,,
pojem,notion,,
všimnout si,notice,,
znatelný,noticeable,,
nástěnka,noticeboard,,
uvnitř,indoors,,
autorita,authority,,
průmyslový,industrial,,
nevyhnutelný,inevitable,,
pomocný,auxiliary,,
