czech,english,block_id,
udržovat,maintain,,
údržba,maintenance,,
recyklace,recycling,,
většina,majority,,
obvaz,bandage,,
ohledně,regarding,,
starosta,mayor,,
duševní,mental,,
maximum,maximum,,
schválení,approval,,
považovat,regard,,
bar,bar,,
řízení,management,,
znovu získat,regain,,
bankovní účet,bank account,,
lidstvo,mankind,,
samec,male,,
láskyplně,lovingly,,
mentálně,mentally,,
zmínit,mention,,
menší,minor,,
nezletilý,minor,,
menšina,minority,,
kapalný,liquid,,
kapalina,liquid,,
báze,base,,
realita,reality,,
minimální,minimum,,
minimalizovat,minimise,,
spolehlivý,reliable,,
minerální,mineral,,
plešatý,bald,,
přeskupit,rearrange,,
uvolnění,release,,
schvalovat,approve,,
rozumné,reasonable,,
literární,literary,,
literatura,literature,,
realistický,realistic,,
mínus,minus,,
spojit,link,,
odkaz,link,,
spoléhat,rely,,
lehce,lightly,,
blesk,lightning,,
povodí,basin,,
bída,misery,,
podoba,likeness,,
