czech,english,block_id,
posvátný,sacred,,
identita,identity,,
průkaz totožnosti,identity card,,
idiom,idiom,,
modla,idol,,
pospíchat,rush,,
atrakce,attraction,,
riziko,risk,,
severovýchodní,northeastern,,
okolí,neighbourhood,,
jednání,negotiation,,
žehlit,iron,,
zachovat,retain,,
žehlení,ironing,,
nepravidelný,irregular,,
maloobchodní,retail,,
vyjednávat,negotiate,,
vyplývat,result,,
dráždit,irritate,,
omezit,restrict,,
víra,belief,,
obnovit,restore,,
ostrůvek,isle,,
jehla,needle,,
izolovat,isolate,,
izolace,isolation,,
zapojit,involve,,
zapojený,involved,,
přístup,approach,,
převyprávět,retell,,
nicméně,nevertheless,,
povědomí,awareness,,
neutrální,neutral,,
síť,network,,
invaze,invasion,,
ohlížet se do minulosti,retrospect,,
nervozita,nervousness,,
investovat,invest,,
otazník,question mark,,
vyšetřování,investigation,,
dotazník,questionnaire,,
fronta,queue,,
pozvání,invitation,,
vzniknout,arise,,
nedobrovolně,involuntarily,,
odpočinek,rest,,
běhání,jogging,,
nacionalista,nationalist,,
