czech,english,block_id,
motiv,motive,,
převážně,largely,,
pověst,reputation,,
motivovat,motivate,,
motivace,motivation,,
republika,republic,,
trvat,last,,
reprodukovat,reproduce,,
trvalý,lasting,,
zástupce,representative,,
opozdilec,latecomer,,
v poslední době,lately,,
namontovat,mount,,
pronajímatel,landlord,,
požadavek,requirement,,
záchrana,rescue,,
rezervace,reservation,,
laboratoř,lab,,
podobat se,resemble,,
deštný prales,rainforest,,
laboratoř,laboratory,,
zkoumat,research,,
výzkumník,researcher,,
bolest zad,backache,,
bláto,mud,,
žebřík,ladder,,
jehněčí,lamb,,
batoh,backpack,,
batůžkář,backpacker,,
truchlit,mourn,,
vrchol hory,mountaintop,,
zachránit,rescue,,
přistát,land,,
hnutí,movement,,
lůžko,bedside,,
základ,basis,,
zapalovač,lighter,,
holý,bare,,
rejstřík,register,,
zaregistrovat,register,,
registrace,registration,,
mechanik,mechanic,,
mechanické,mechanical,,
kraj,region,,
regionální,regional,,
změřit,measure,,
měření,measurement,,
mezitím,meanwhile,,
