czech,english,block_id,
mizerný,miserable,,
přibližný,approximate,,
přibližně,approximately,,
relaxační,relaxing,,
náboženský,religious,,
limit,limit,,
omezit,limit,,
omezení,limitation,,
omezený,limited,,
kulhat,limp,,
suterén,basement,,
zázrak,miracle,,
neplechu,mischief,,
míle,mile,,
vztahovat,relate,,
barman,barman,,
nástěnka,message board,,
kultivovat,reclaim,,
nákladní auto,lorry,,
nepořádek,mess,,
ztráta,loss,,
uznat,recognise,,
odmítnout,reject,,
pouhý,mere,,
pouze,merely,,
loterie,lottery,,
doporučit,recommend,,
obchodník,merchant,,
reproduktor,loudspeaker,,
kůra,bark,,
chaotický,messy,,
vztah,relation,,
mírný,mild,,
středního věku,middle-aged,,
játra,liver,,
hlaveň,barrel,,
obnovit,rebuild,,
příbuzný,relative,,
poměrný,relative,,
poměrně,relatively,,
odvolat,recall,,
umístění,location,,
uzamknout,lock,,
chata,lodge,,
logo,logo,,
lokalizovat,locate,,
prosperita,prosperity,,
vyzařovat,radiate,,
