czech,english,block_id,
rychle,rapidly,,
olovo,lead,,
morální,moral,,
vzácný,rare,,
legálně,legally,,
vlhkost,moisture,,
příděl,ration,,
lhář,liar,,
poznámka,remark,,
porozumění,understanding,,
nedorozumění,misunderstanding,,
reagovat,react,,
mlhavý,misty,,
osvobodit,liberate,,
osvobození,liberation,,
architekt,architect,,
knihovník,librarian,,
mise,mission,,
lhát,lie,,
plavčík,lifeguard,,
celoživotní,lifelong,,
váhy,balance,,
zbytek,remainder,,
výtah,lift,,
uvést v omyl,mislead,,
zarovnat,level,,
hlávkový salát,lettuce,,
pálka,bat,,
mixovací nádoba,mixing bowl,,
upravit,modify,,
obnovit,renew,,
racionální,rational,,
kontrolovat,control,,
dálkové ovládání,remote control,,
mírný,moderate,,
vzpomínka,remembrance,,
mech,moss,,
délka,length,,
lék,remedy,,
břitva,razor,,
pekař,baker,,
snížit,lessen,,
pekárna,bakery,,
dosah,reach,,
poznamenat,remark,,
pozoruhodný,remarkable,,
modální,modal,,
pořadí,rank,,
