czech,english,block_id,
vlast,motherland,,
pohyb,motion,,
bez hnutí,motionless,,
hlídat děti,babysit,,
hlídačka dětí,babysitter,,
železnice,railway,,
sval,muscle,,
vraždit,murder,,
vrah,murderer,,
obyvatel,resident,,
obytný,residential,,
laskavost,kindness,,
krásně,beautifully,,
mezek,mule,,
rytmus,beat,,
kotě,kitten,,
bestie,beast,,
plést,knit,,
klepat,knock,,
srážky,rainfall,,
zabíjení,killing,,
železnice,railroad,,
dobírat si,kid,,
džungle,jungle,,
nahý,naked,,
hřebík,nail,,
úcta,respect,,
zdroj,resource,,
uchýlit se,resort,,
mýtus,myth,,
spravedlnost,justice,,
rezervovat,reserve,,
odhodlání,resolve,,
varná konvice,kettle,,
vzájemné,mutual,,
vztek,rage,,
klávesnice,keyboard,,
hořčice,mustard,,
železniční,rail,,
bobr,beaver,,
odolat,resist,,
zvednout,lift,,
vousy,beard,,
rezerva,reserve,,
vyžadovat,require,,
požadovat,request,,
motocykl,motorcycle,,
motor,motor,,
