czech,english,block_id,grammar_chunk_id
tenký,thin,,
hlasovat,vote,,
téma,topic,,
dotek,touch,,
výhra,win,,
jehož,whose,,
bílit,white,,
bílý,white,,
jaký,which,,
když,when,,
kolo,wheel,,
jaký,what,,
byli,were,,
studna,well,,
vítejte,welcome,,
víkend,weekend,,
nosit (oblečení),wear,,
zoo,zoo,,
ty sám,yourself,,
jogurt,yoghurt,,
ještě,yet,,
žlutý,yellow,,
yard,yard,,
napsat,write,,
já nepiji (běžně),I don't drink,35,27
ty nehraješ (běžně),you don't play,35,27
on nemá (běžně),he doesn't have,35,27
ona nemluví (běžně),she doesn't speak,35,27
ono neběží (běžně),it doesn't run,35,27
my nebydlíme (běžně),we don't live,35,27
vy nepomáháte (běžně),you don't help,35,27
oni neznají (běžně),they don't know,35,27
Já nepracuji v pondělí. (běžně),I don't work on Monday.,,27
Ty nesnídáváš. (běžně),You don't eat breakfast.,,27
On nepije kávu. (běžně),He doesn't drink coffee.,,27
Ona nesleduje televizi. (běžně),She doesn't watch TV.,,27
V zimě neprší. (běžně),It doesn't rain in winter.,,27
My o víkendech nenakupujeme. (běžně),We don't shop on weekends.,,27
Vy se po obědě nevracíte. (běžně),You don't return after lunch.,,27
Oni si nehrají venku. (běžně),They don't play outside.,,27
