czech,english,block_id,grammar_chunk_id
hráč,player,,
spíše,rather,,
zůstat,remain,,
strana,side,,
jih,south,,
pravda,true,,
použít,use,,
již,already,,
stát se,become,,
způsobit,cause,,
určitý,certain,,
popsat,describe,,
suchý,dry,,
očekávat,expect,,
fakt,fact,,
zahrnout,include,,
nechat,let,,
moment,moment,,
síla,power,,
poskytnout,provide,,
hlásit,report,,
sedadlo,seat,,
jednotlivý,single,,
systém,system,,
já pracuji (běžně),I work,34,26
ty vidíš (běžně),you see,34,26
on chce (běžně),he wants,34,26
ona potřebuje (běžně),she needs,34,26
ono dělá (běžně),it makes,34,26
my víme (běžně),we know,34,26
vy jdete (běžně),you go,34,26
oni kupují (běžně),they buy,34,26
Jím chléb. (běžně),I eat bread.,,26
Piješ vodu. (běžně),You drink water.,,26
On čte knihu. (běžně),He reads a book.,,26
Ona píše dopis. (běžně),She writes a letter.,,26
Je to malé. (běžně),It is small.,,26
Máme auto. (běžně),We have a car.,,26
Učíte studenty. (běžně),You teach students.,,26
Hrají fotbal. (běžně),They play football.,,26
Kočka běhá v parku. (běžně),The cat runs in the park.,,26
Pes spí na posteli. (běžně),The dog sleeps on a bed.,,26
Anna vaří rýži. (běžně),Anna cooks rice.,,26
Můj bratr žije v domě. (běžně),My brother lives in a house.,,26
Děti otevírají dveře. (běžně),Children open doors.,,26
Pták létá. (běžně),A bird flies.,,26
Matka zpívá píseň. (běžně),Mother sings a song.,,26
Slunce svítí ráno. (běžně),The sun shines in the morning.,,26
