czech,english,block_id,grammar_chunk_id
tenký,thin,,
hlasovat,vote,,
téma,topic,,
dotek,touch,,
výhra,win,,
jehož,whose,,
bílit,white,,
bílý,white,,
jaký,which,,
když,when,,
kolo,wheel,,
jaký,what,,
byli,were,,
studna,well,,
vítejte,welcome,,
víkend,weekend,,
nosit (oblečení),wear,,
zoo,zoo,,
ty sám,yourself,,
jogurt,yoghurt,,
ještě,yet,,
žlutý,yellow,,
yard,yard,,
napsat,write,,
já nepiji,I don't drink,35,27
ty nehraješ,you don't play,35,27
on nemá,he doesn't have,35,27
ona nemluví,she doesn't speak,35,27
ono neběží,it doesn't run,35,27
my nebydlíme,we don't live,35,27
vy nepomáháte,you don't help,35,27
oni neznají,they don't know,35,27
Nepracuji v pondělí.,I don't work on Mondays.,,27
Obvykle nesnídáš doma.,You don't usually eat breakfast at home.,,27
Nepije kávu.,He doesn't drink coffee.,,27
Ona nesleduje televizi.,She doesn't watch TV.,,27
V zimě zde neprší.,It doesn't rain in winter.,,27
O víkendech nenakupujeme.,We don't shop at weekends.,,27
Po obědě se nevracíte.,You don't return after lunch.,,27
Oni si nehrají venku.,They don't play outside.,,27
