czech,english,block_id,grammar_chunk_id
zdravotní sestra,nurse,,
poznamenat,note,,
poznámka,note,,
notebook,notebook,,
vypnuto,off,,
žádný,no,,
pěkný,nice,,
zprávy,news,,
soused,neighbour,,
důstojník,officer,,
strana,page,,
odpoledne,PM,,
vlastnit,own,,
majitel,owner,,
venku,outside,,
naše,ours,,
objednávka,order,,
pomerančový,orange,,
opera,opera,,
otevřeno,open,,
olympiády,Olympics,,
okej,okay,,
program,programme,,
dát,put,,
Otevři dveře.,Open the door.,41,33
Zavři okno.,Close the window.,41,33
Sedni si.,Sit down.,41,33
Vstaň.,Stand up.,41,33
Počítej do deseti.,Count to ten.,41,33
Poslouchej.,Listen.,41,33
Počkej.,Wait.,41,33
Podívej se.,Look.,41,33
Prosím otevři dveře.,Please open the door.,,33
Zavři okno před odchodem.,Close the window before you leave.,,33
Sedni si vedle mě.,Sit down next to me.,,33
Vstaň a pojď sem.,Stand up and come here.,,33
Počítej do deseti.,Count to ten.,,33
Poslouchej učitele.,Listen to the teacher.,,33
Počkej na mě.,Wait for me.,,33
Podívej se na tabuli.,Look at the board.,,33
