czech,english,,
způsobit,incur,,
nevyléčitelný,incurable,,
vlivný,influential,,
chřipka,influenza,,
neformální,informal,,
porušit,infringe,,
porušení,infringement,,
obývat,inhabit,,
zdědit,inherit,,
iniciála,initial,,
iniciativa,initiative,,
injekce,injection,,
ovlivnit,influence,,
zraněný,injured,,
nevinně,innocently,,
vstup,input,,
zeptat se,enquire,,
neoddělitelný,inseparable,,
kontrolovat,inspect,,
inspektor,inspector,,
inspirativní,inspirational,,
okamžitě,instantly,,
vrozený,innate,,
ideálně,ideally,,
inflace,inflation,,
zánětlivé,inflammatory,,
zadlužený,indebted,,
odsadit,indent,,
nezávisle,independently,,
nepopsatelný,indescribable,,
index,index,,
lhostejný,indifferent,,
ponížení,indignity,,
individuální,individual,,
nahustit,inflate,,
shovívavý,indulgent,,
neúčinné,ineffective,,
nezkušený,inexperienced,,
kojenec,infant,,
infikovat,infect,,
infikovaný,infected,,
infekční,infectious,,
usoudit,infer,,
odvození,inference,,
zánět,inflammation,,
industrializovat,industrialise,,
příznivý,beneficial,,
ledový,icy,,
