czech,english,,
ekolog,environmentalist,,
rovnost,equality,,
stejně,equally,,
zařízení,equipment,,
éra,era,,
kýchnutí,sneeze,,
kuřák,smoker,,
příjemný,enjoyable,,
inženýrství,engineering,,
říše,empire,,
zaměstnat,employ,,
zaměstnanost,employment,,
umožnit,enable,,
přiložit,enclose,,
setkání,encounter,,
telenovela,soap opera,,
povzbuzení,encouragement,,
povzbudivý,encouraging,,
encyklopedie,encyclopaedia,,
nekonečný,endless,,
vydržet,endure,,
chumelenice,snowstorm,,
zapojit,engage,,
zasnoubený,engaged,,
uniknout,escape,,
esence,essence,,
nepatrný,slight,,
zkouška,examination,,
přezkoumat,examine,,
zkoušející,examiner,,
pobočka,branch,,
rukáv,sleeve,,
excelence,excellence,,
přebytek,excess,,
vyměnit,exchange,,
vzrušeně,excitedly,,
vzrušení,excitement,,
výhradní,exclusive,,
brainstorming,brainstorming,,
mrakodrap,skyscraper,,
vyčerpat,exhaust,,
vyčerpaný,exhausted,,
otroctví,slavery,,
zábavný,amusing,,
mírně,slightly,,
evidentní,evident,,
základní,essential,,
úsmívat se,smile,,
