czech,english,,
nepravidelný,irregular,,
maloobchodní,retail,,
vyjednávat,negotiate,,
vyplývat,result,,
dráždit,irritate,,
omezit,restrict,,
víra,belief,,
obnovit,restore,,
ostrůvek,isle,,
jehla,needle,,
izolovat,isolate,,
izolace,isolation,,
zapojit,involve,,
zapojený,involved,,
přístup,approach,,
převyprávět,retell,,
nicméně,nevertheless,,
povědomí,awareness,,
neutrální,neutral,,
síť,network,,
invaze,invasion,,
netto,net,,
ohlížet se do minulosti,retrospect,,
ness,ness,,
nervozita,nervousness,,
investovat,invest,,
otazník,question mark,,
vyšetřování,investigation,,
dotazník,questionnaire,,
fronta,queue,,
pozvání,invitation,,
vzniknout,arise,,
nedobrovolně,involuntarily,,
odpočinek,rest,,
běhání,jogging,,
nacionalista,nationalist,,
spoj,joint,,
žertovat,joke,,
časopis,journal,,
novinář,journalist,,
ošklivý,nasty,,
úzký,narrow,,
rozsudek,judgement,,
slušný,respectable,,
džbán,jug,,
šťavnatý,juicy,,
příběh,narrative,,
vyprávět,narrate,,
