czech,english,,
kvetoucí,blooming,,
velký,grand,,
krvavý,bloody,,
krevní řečiště,bloodstream,,
dobrá vůle,goodwill,,
gook,gook,,
rokle,gorge,,
klábosit,gossip,,
vládní,governmental,,
půvab,gracefulness,,
postupný,gradual,,
prokletý,bloody,,
podivín,freak,,
zběsile,frantically,,
divoký,fierce,,
botanika,botany,,
bojování,fighting,,
pánovitý,bossy,,
filiální,filial,,
finance,finance,,
finančně,financially,,
jemně,finely,,
nehet,fingernail,,
vyhodit zaměstnance,fire,,
hasiči,fire brigade,,
střelná zbraň,firearm,,
krb,fireplace,,
pevnost,firmness,,
stánek,booth,,
první jazyk,first language,,
první osoba,first person,,
za prvé,firstly,,
smyšlený,fictional,,
vlákno,fibre,,
obtěžoval,bothered,,
obtěžující,bothersome,,
boxer,boxer,,
fantasticky,fantastically,,
fascinován,fascinated,,
okouzlení,fascination,,
uklonit se,bow,,
bourbon,bourbon,,
fatální,fatal,,
osud,fate,,
tchán,father-in-law,,
vadný,faulty,,
fiskální,fiscal,,
obávat se,fear,,
