czech,english,,
posádka,crew,,
útulnost,cosiness,,
zbabělec,coward,,
korporace,corporation,,
vyloupit,burgle,,
správnost,correctness,,
korespondovat,correspond,,
korespondence,correspondence,,
korespondent,correspondent,,
odpovídající,corresponding,,
koridor,corridor,,
zkorumpovaný,corrupt,,
zbabělý,cowardly,,
korupce,corruption,,
kostým,costume,,
vloupání,burglary,,
počítadlo,counter,,
krajan,countryman,,
celostátní,countrywide,,
zdvořilost,courtesy,,
byrokracie,bureaucracy,,
zatěžující,burdensome,,
nákladné,costly,,
vodítko,guideline,,
krychle,cube,,
manžeta,cuff,,
databáze,database,,
datováno,dated,,
snacha,daughter-in-law,,
svítání,dawn,,
denní,daytime,,
de facto,de facto,,
drahá,dearly,,
debetní,debit,,
dlužit,debit,,
debetní karta,debit card,,
data,data,,
desetiletí,decade,,
oklamat,deceive,,
slušný,decent,,
klamný,deceptive,,
rozhodující,decisive,,
paluba,deck,,
odmítnout,decline,,
rozklad,decomposition,,
vyzdobit,decorate,,
dekorace,decoration,,
dekorativní,decorative,,
