czech,english,,
sentiment,sentiment,,
svěřit,confide,,
básnířka,poetess,,
ironicky,wryly,,
ironický,wry,,
spravedlivě,justly,,
kontinuita,continuity,,
kazatel,preacher,,
kázat,preach,,
strakatý,motley,,
elán,verve,,
staccato,staccato,,
zachránit,salvage,,
cítící,sentient,,
pohlcující,engrossing,,
překážet,impede,,
relapsu,relapse,,
bujnost,exuberance,,
bujný,exuberant,,
prázdnota,blankness,,
vyhovující,compliantly,,
vyhovující,compliant,,
dodržování,compliance,,
vyhovět,comply,,
otlučený,battered,,
zesílení,amplification,,
bohatě,amply,,
nábřeží,waterfront,,
nespolehlivě,unreliably,,
tlouci,batter,,
sada,battery,,
těsto,batter,,
rozpoznatelně,recognisably,,
rozpoznatelný,recognisable,,
ctít,revere,,
eklekticky,eclectically,,
eklektický,eclectic,,
prostory,premises,,
předpoklad,premise,,
báječně,fabulously,,
firma,firm,,
kalorie,calorie,,
svědomitě,dutifully,,
bujně,exuberantly,,
lineární,linear,,
lineárně,linearly,,
vzkvétat,flourish,,
selhat,lapse,,
