czech,english,block_id,grammar_chunk_id
vzhled,appearance,,
zklamáním,disappointing,,
palec,inch,,
dinosaurus,dinosaur,,
hnědnout,brown,,
ačkoli,although,,
zvýšení,increase,,
čtverec,square,,
digitální fotoaparát,digital camera,,
romantika,romance,,
romantický,romantic,,
hrůza,horror,,
běžec,runner,,
rozlít,spill,,
představivost,imagination,,
pověst,rumour,,
displej,display,,
šplouchat,splash,,
podíl,split,,
zřejmě,apparently,,
dopad,impact,,
nechuť,dislike,,
trpělivý,patient,,
netrpělivý,impatient,,

Já poslední dobou moc nespím.,I haven't been sleeping much lately.,76,66
Ty poslední dobou moc nečteš.,You haven't been reading much lately.,76,66
On tam zatím nečeká dlouho.,He hasn't been waiting there long yet.,76,66
Ona už nějakou dobu neběhá.,She hasn't been running for a while.,76,66
Už několik dní neprší.,It hasn't been raining for several days.,76,66
My se tento týden moc neučíme.,We haven't been studying much this week.,76,66
Vy letos moc necestujete.,You haven't been travelling much this year.,76,66
Oni spolu poslední dobou nehrají.,They haven't been playing together lately.,76,66

