czech,english,block_id,grammar_chunk_id
výstavce,drawer,,
stejně,anyway,,
zdroj,source,,
ochutnat,sample,,
kromě,besides,,
však,however,,
kdekoli,anywhere,,
v centru města,downtown,,
dole,downstairs,,
obejmout,hug,,
stáhnout,download,,
lidský,human,,
remíza,draw,,
ilegální,illegal,,
běh,running,,
zklamaný,disappointed,,
zmizet,disappear,,
nesouhlasit,disagree,,
nevýhoda,disadvantage,,
pás,belt,,
lano,rope,,
šíření,spread,,
vykořenit,root,,
ředitel,director,,

Já pracuji už dvě hodiny.,I've been working for two hours.,75,65
Ty čteš od rána.,You've been reading since this morning.,75,65
On čeká celý den.,He's been waiting all day.,75,65
Ona běhá už hodinu.,She's been running for an hour.,75,65
Prší od včerejška.,It's been raining since yesterday.,75,65
My se učíme celý večer.,We've been studying all evening.,75,65
Vy cestujete celý týden.,You've been travelling all week.,75,65
Oni hrají od oběda.,They've been playing since lunch.,75,65
