czech,english,block_id,grammar_chunk_id
svoboda,freedom,,
zmrazit,freeze,,
skořápka,shell,,
zděšení,fright,,
děsivý,frightening,,
vidlice,fork,,
navždy,forever,,
smažený,fried,,
les,forest,,
bonus,bonus,,
přátelství,friendship,,
vystrašit,frighten,,
síla,force,,
vystrašený,frightened,,
zakázat,forbid,,
lednička,fridge,,
držadlo,handle,,
šortky,shorts,,
galerie,gallery,,
vážně,seriously,,
bojovník,fighter,,
dát si námahu,bother,,
beletrie,fiction,,
prohlídka památek,sightseeing,,

Já jsem už skončil,I've already finished,71,61
Ty jsi už viděl ten film.,You've already seen the movie.,71,61
On ztratil své klíče.,He's lost his keys.,71,61
Ona se už rozhodla.,She's already decided.,71,61
To se změnilo od minula.,It's changed since last time.,71,61
My jsme právě přijeli,We've just arrived,71,61
Vy jste zapomněli adresu,You've forgotten the address.,71,61
Oni už jedli.,They've already eaten.,71,61
