czech,english,
nalít,pour,
spěchat,rush,
hladký,smooth,
rozprostřít,spread,
navrhnout,suggest,
problém,trouble,
západ,west,
průměrný,average,
patřit,belong,
určitě,certainly,
zločin,crime,
povinnost,duty,
buďte,either,
selhat,fail,
zdraví,health,
vliv,influence,
vůdce,leader,
měřit,measure,
nabídnout,offer,
hromada,pile,
ohled,regard,
hrubý,rough,
série,series,
zkazit,spoil,
místo,spot,
tenký,thin,
hlasovat,vote,
podtrhnout,underline,
hodinky,watch,
praní,wash,
teplo,warm,
téma,topic,
dotek,touch,
výhra,win,
respekt,respect,
bílit,white,
bílý,white,
jaký,which,
když,when,
kolo,wheel,
nebyl jsem,I was not,28
nebyl jsi,you were not,28
nebyl,he was not,28
nebyla,she was not,28
nebylo,it was not,28
nebyli jsme,we were not,28
nebyli jste,you were not,28
nebyli,they were not,28
nebyl jsem (zk.),I wasn't,28
nebyl jsi (zk.),you weren't,28
nebyl (zk.),he wasn't,28
nebyla (zk.),she wasn't,28
nebylo (zk.),it wasn't,28
nebyli jsme (zk.),we weren't,28
nebyli jste (zk.),you weren't,28
nebyli (zk.),they weren't,28
Nebyl jsem doma.,I wasn't at home.,28
Nebyls unavený.,You weren't tired.,28
Nebyl šťastný.,He wasn't happy.,28
Nebyla ve škole.,She wasn't at school.,28
Nebylo nové.,It wasn't new.,28
Nebyli jsme připraveni.,We weren't ready.,28
Nebyli jste v parku.,You weren't in the park.,28
Nebyli v práci.,They weren't at work.,28



