czech,english,grammar_id
organické,organic,
promiňte,pardon,
princip,principle,
hořké,bitter,
orgán,organ,
připojit,attach,
rodičovský,parental,
obyčejný,ordinary,
vyděšený,scared,
vyděsit,scare,
pověsit,hang,
závěsný,hanging,
řád,order,
spořádaný,orderly,
vysoce,highly,
překonat,overcome,
vyzdvihnout,highlight,
pokrok,progress,
šikovný,handy,
parkoviště,parking,
skus,bite,
naprogramovat,programme,
organismus,organism,
děsit,horrify,
profesor,professor,
pracovitý,hard-working,
původ,origin,
skrytý,hidden,
skórovat,score,
přes noc,overnight,
strádání,hardship,
paralyzovat,paralyse,
bilingvní,bilingual,
výtisk,print,
organizace,organisation,
přístav,harbour,
spokojenost,satisfaction,
satelit,satellite,
přešťastný,overjoyed,
profese,professionm
"Řekla, že je unavená.","She said she was tired.",70
"On řekl, že půjde domů.","He said he would go home.",70
"Zeptal se, kde bydlím.","He asked where I lived.",70
"Řekla, že má ráda tu knihu.","She said she liked that book.",70
"Učitel řekl, abychom si otevřeli učebnice.","The teacher told us to open our textbooks.",70
"On řekl, že to neudělal.","He said he hadn't done it.",70
"Zeptala se, jestli přijdu zítra.","She asked if I would come the next day.",70
"Řekli, že tam byli.","They said they had been there.",70
