czech,english,grammar_chunk_id,block_id,


vstoupit,enter,
budoucnost,future,
gentleman,gentleman,
obraz,image,
jazyk,language,
letadlo,plane,
soukromý,private,
velikost,size,
nebe,sky,
chytrý,smart,
děkovat,thank,
počasí,weather,
herec,actor,
láhev,bottle,
tkanina,cloth,
zničit,destroy,
všude,everywhere,
průvodce,guide,
zlepšit,improve,
obrovský,enormous,,
"Chodíš do školy? Ano, chodím.","Do you go to school? Yes, I do.",17,
"Máš rád čaj? Ano, mám.","Do you like tea? Yes, I do.",17,
"Hraje fotbal? (on) Ano, hraje.","Does he play football? Yes, he does.",17,
"Čte knihy? (ona) Ano, čte.","Does she read books? Yes, she does.",17,
"Funguje to? Ano, funguje.","Does it work? Yes, it does.",17,
"My často vaříme doma? Ano, často vaříme.","Do we often cook at home? Yes, we do.",17,
"Vy rozumíte anglicky? Ano, rozumíme.","Do you understand English? Yes, we do.",17,
"Oni žijí tady? Ano, žijí.","Do they live here? Yes, they do.",17,
,
