czech,english,grammar_id
kroužek,ring,
skříň,cupboard,
radost,joy,
byl,been,
dezert,dessert,
aplikovat,apply,
problém,issue,
tanečník,dancer,
stát,state,
chovat se,behave,
chování,behaviour,
zubař,dentist,
přehrada,dam,
denní,daily,
zvyk,custom,
jezdit na kole,cycle,
cyklistika,cycling,
začátek,beginning,
s sebou,along,
odpověď,response,
obchodní dům,department store,
začátečník,beginner,
želé,jelly,
džem,jam,
znamenat,signify,
významný,significant,
úspěšně,successfully,
ztracený,lost,
úděl,lot,
hlasitý,loud,
hlasitě,loudly,
polykat,swallow,
vodítko,clue,
klaun,clown,
potit,sweat,
kabina,cab,
výhodná dohoda,bargain,
naštěstí,luckily,
pravidelně,regularly,
ulička,aisle,
Chystám se vařit.,I am going to cook.,39
Bude se učit. (on),He is going to study.,39
Bude zpívat. (ona),She is going to sing.,39
Půjdeme do kina.,We are going to go to the cinema.,39
Budou cestovat.,They are going to travel.,39
Bude pršet.,It is going to rain.,39
Moji rodiče budou pracovat.,My parents are going to work.,39
