czech,english,
dav,crowd,
obchod,deal,
motor,engine,
sledovat,follow,
čokoláda,chocolate,
jedinečný,individual,
levý,left,
jídlo,meal,
olej,oil,
bolest,pain,
pravděpodobně,probably,
nahradit,replace,
společnost,society,
náměstí,square,
krok,step,
teplota,temperature,
univerzita,university,
přijmout,accept,
potěšení,pleasure,
kapitán,captain,
centrum,centre,
požadovat,demand,
nepřítel,enemy,
továrna,factory,
hladový,hungry,
nelegální,illegal,
zákon,law,
benzín,petrol,
pyšný,proud,
zodpovědný,responsible,
úspěšný,successful,
plavat,swim,
vrchol,top,
vyhrát,win,
dostupný,available,
loď,boat,
půjčit,borrow,
pobřeží,coast,
smetana,cream,
návrh,design,
Pojďme si dát čaj.,Let's have some tea.,22
Dáme si kávu?,Shall we have coffee?,22
Co takhle jít ven?,How about going out?,22
Proč nejdeme do kina?,Why don't we go to the cinema?,22
Chtěl byste si zahrát tenis?,Would you like to play tennis?,22
Mohli bychom zkusit novou restauraci.,We could try a new restaurant.,22
Možná bychom měli začít.,Maybe we should start.,22
