czech,english,grammar_id
semestr,semester,
zlatý,golden,
golf,golf,
květ,bloom,
jízdné,fare,
dobře vypadající,good-looking,
fantastický,fantastic,
módní,fancy,
vysvětlení,explanation,
jednoduše,simply,
pád,fall,
spravedlivě,fairly,
podprsenka,bra,
milost,grace,
postupně,gradually,
zpěv,singing,
jedinný,single,
známý,familiar,
expert,expert,
zažít,experience,
skluzavka,slide,
mořské plody,seafood,
přesně,exactly,
pistole,gun,
štíhlý,slim,
deka,blanket,
důkaz,evidence,
značka,brand,
statečný,brave,
vina,blame,
skript,script,
vůbec,ever,
zkouška,exam,
přerušení,break,
rozpůlit,half,
tabule,blackboard,
poloviční cenu,half-price,
pomalu,slowly,
euro,euro,
šunka,ham,
"Kdybych měl peníze, koupil bych si auto.","If I had money, I would buy a car.",45
"Kdybych byl tebou, šel bych k lékaři.","If I were you, I would go to the doctor.",45
"Kdyby pršelo, zůstal bych doma.","If it rained, I would stay at home.",45
"Kdybych vyhrál v loterii, procestoval bych svět.","If I won the lottery, I would travel the world.",45
"Kdybych měl více času, naučil bych se španělsky.","If I had more time, I would learn Spanish.",45
"Kdybych znal odpověď, řekl bych ti ji.","If I knew the answer, I would tell you.",45
"Kdybych byl slavný, potkal bych mnoho lidí.","If I were famous, I would meet many people.",45
"Kdybych měl psa, chodil bych s ním na procházky.","If I had a dog, I would walk it.",45
