czech,english,grammar_id
snadno,easily,
ctižádost,ambition,
za,beyond,
zemětřesení,earthquake,
náušnice,earring,
už,anymore,
měřítko,scale,
zlepšit se,better,
klobása,sausage,
med,honey,
čest,honour,
omáčka,sauce,
uspokojit,satisfy,
nevěsta,bride,
vánek,breeze,
jednoho dne,someday,
hiphop,hiphop,
nealkoholický nápoj,soft drink,
měkce,softly,
scenérie,scenery,
software,software,
scéna,scene,
elektrický,electric,
sebe,herself,
starší,elderly,
Hej,hey,
někdo,somebody,
střední škola,high school,
vzdělávat,educate,
školství,education,
vzdělávací,educational,
řešení,solution,
upravit,edit,
editor,editor,
redakční,editorial,
dálnice,highway,
trampovat,hike,
turistika,hiking,
sám,himself,
odrážet,reflect,
"Navštívil jsem Paříž.","I had visited Paris.",54
"On ztratil klíče.","He had lost his keys.",54
"Už jsme začali.","We had already started.",54
"Oni koupili nový dům.","They had bought a new house.",54
"Viděl jsi ten film.","You had seen the movie.",54
"Ona napsala dopis.","She had written a letter.",54
"Byl jsem v Londýně.","I had been to London.",54
"Jedl jsem snídani.","I had eaten breakfast.",54
