czech,english,block_id,
luštit,riddle,,
hlučně,noisily,,
kvalitní,quality,,
vhled,insight,,
trvat na,insist on,,
inspekce,inspection,,
nevinný,innocent,,
nejvnitřnější,innermost,,
inkoust,ink,,
zranění,injury,,
stoupat,rise,,
zralý,ripe,,
severovýchod,northeast,,
informativní,informative,,
potlesk,applause,,
kývnutí,nod,,
přísada,ingredient,,
inhalovat,inhale,,
počáteční,initial,,
zpočátku,initially,,
injekci,inject,,
nesmysl,nonsense,,
zemětřesení,quake,,
nicméně,nonetheless,,
obyvatel,inhabitant,,
severní,northern,,
instalovat,instal,,
milovaný,beloved,,
střední,intermediate,,
aritmetický,arithmetic,,
přestávka,intermission,,
vnitřní,internal,,
mezinárodně,internationally,,
vedle,next door,,
revidovat,revise,,
revize,revision,,
uznání,appreciation,,
přerušit,interrupt,,
interval,interval,,
dotazovaný,interviewee,,
ocenit,award,,
nově,newly,,
nováček,newcomer,,
zavedení,introduction,,
úrok,interest,,
přezdívka,nickname,,
interakce,interaction,,
interagovat,interact,,
