czech,english,block_id,
randit,date,,
rozruch,stir,,
seznamka,dating,,
stavitel,builder,,
omámení,daze,,
oslnit,dazzle,,
lhůta,deadline,,
smrtící,deadly,,
hluchý,deaf,,
jednat,deal,,
obchodník,dealer,,
trosky,debris,,
dluh,debt,,
lepkavý,sticky,,
vlhký,damp,,
nálepka,sticker,,
abeceda,alphabet,,
měna,currency,,
proud,current,,
v současné době,currently,,
osnovy,curriculum,,
závěs,curtain,,
křivka,curve,,
polštář,cushion,,
zvyky,customs,,
narazit,bump,,
povědět,tell,,
vypravěč příběhů,storyteller,,
životopis,CV,,
bouřlivý,stormy,,
skladování,storage,,
cyklus,cycle,,
bulletin,bulletin,,
nahlas,aloud,,
sedmikráska,daisy,,
poškotit,damage,,
hůl,stick,,
prohlášení,declaration,,
vymazat,delete,,
postavení,status,,
delikátní,delicate,,
rozkoš,delight,,
potěšen,delighted,,
rozkošný,delightful,,
dodat,deliver,,
dodání,delivery,,
požadovat,demand,,
nárok,demand,,
