czech,english,block_id,
spoj,joint,,
žertovat,joke,,
časopis,journal,,
novinář,journalist,,
ošklivý,nasty,,
úzký,narrow,,
rozsudek,judgement,,
slušný,respectable,,
džbán,jug,,
šťavnatý,juicy,,
příběh,narrative,,
vyprávět,narrate,,
zdřímnutí,nap,,
trapné,awkward,,
rasový,racial,,
přirozeně,naturally,,
nektar,nectar,,
náhrdelník,necklace,,
děsivý,awesome,,
slonovina,ivory,,
jménem,behalf,,
nefrit,jade,,
kriminál,gaol,,
odpovědný,responsible,,
znovusjednocení,reunification,,
sklenice,jar,,
poblíž,nearby,,
jazz,jazz,,
žárlivý,jealous,,
námořnická modř,navy blue,,
reagovat,respond,,
závodit,race,,
závod,race,,
odpovědnost,responsibility,,
vědom,aware,,
sjednotit,unify,,
znovu sjednotit,reunify,,
novorozený,newborn,,
směšný,ridiculous,,
inovovat,innovate,,
zlepšovatel,innovator,,
aplikace,application,,
dotaz,enquiry,,
šílený,insane,,
kvalifikovat,qualify,,
kvalifikovaný,qualified,,
vepsat,inscribe,,
nápis,inscription,,
