czech,english,block_id,
chování,conduct,,
opalovat se,sunbathe,,
summit,summit,,
podezřelý,suspect,,
treska,cod,,
podezření,suspicion,,
charita,charity,,
kouzlo,charm,,
štvanice,chase,,
bavit se,chat,,
chat show,chat show,,
klid,calmness,,
odbavení,check-in,,
pokladna,checkout,,
systematický,systematic,,
veselý,cheerful,,
syndrom,syndrome,,
chemikálie,chemical,,
chemik,chemist,,
chemie,chemistry,,
příznak,symptom,,
milovat,cherish,,
sympatie,sympathy,,
komoda,chest of drawers,,
žvýkačka,chewing gum,,
kočár,chariot,,
uklidnit,calm,,
útok,charge,,
charakterizovat,characterise,,
talentovaný,talented,,
osobnost,celebrity,,
buňka,cell,,
příběh,tale,,
vzlet,take-off,,
s sebou,takeaway,,
ústřední topení,central heating,,
obřad,ceremony,,
jistota,certainty,,
náročný,challenging,,
kanál,channel,,
chaos,chaos,,
tableta,tablet,,
velbloud,camel,,
charakteristický,characteristic,,
hlavní,chief,,
volající,caller,,
pěvecký sbor,choir,,
vyčistit,clear,,
