czech,english,block_id,
demokracie,democracy,,
demokratický,democratic,,
prokázat,demonstrate,,
demonstrace,demonstration,,
odmítnout,deny,,
odejít,depart,,
odchod,departure,,
zdržet,delay,,
stabilní,steady,,
stále,steadily,,
pokles,decline,,
zastavit,stem,,
pokles,decrease,,
snížit,decrease,,
věnovat,dedicate,,
strmé,steep,,
listina,deed,,
ocel,steel,,
kudrnatý,curly,,
pára,steam,,
hájit,defend,,
obránce,defender,,
obrana,defence,,
nedostatečný,deficient,,
nedostatek,deficiency,,
definovat,define,,
určitý,definite,,
určitý člen,definite article,,
rozhodně,definitely,,
definice,definition,,
porazit,defeat,,
kemp,campsite,,
zvědavý,curious,,
zvědavě,curiously,,
zvědavost,curiosity,,
spálit,burn,,
hořící,burning,,
ponorka,submarine,,
copyright,copyright,,
podvědomý,subconscious,,
stylový,stylish,,
omráčit,stun,,
ohromující,stunning,,
oprava,correction,,
klopýtnutí,stumble,,
plněné,stuffed,,
studio,studio,,
příspěvek,allowance,,
