czech,english,block_id,grammar_chunk_id
dříve než,before,,
vnitřní,inner,,
přímý,straight,,
kroužek,ring,,
skříň,cupboard,,
radost,joy,,
byl,been,,
dezert,dessert,,
aplikovat,apply,,
problém,issue,,
tanečník,dancer,,
stát,state,,
chovat se,behave,,
chování,behaviour,,
zubař,dentist,,
přehrada,dam,,
sám,itself,,
denní,daily,,
zvyk,custom,,
jezdit na kole,cycle,,
cyklistika,cycling,,
začátek,beginning,,
s sebou,along,,
odpověď,response,,

já pracoval,I worked,56,46
ty ses díval,you watched,56,46
on uklízel,he cleaned,56,46
ona otevřela,she opened,56,46
ono začalo,it started,56,46
my jsme hráli,we played,56,46
vy jste pomohli,you helped,56,46
oni navštívili,they visited,56,46

Včera jsem šel domů.,I went home yesterday.,,46
Viděl jsi film.,You saw a film.,,46
On koupil telefon.,He bought a phone.,,46
Ona napsala e-mail.,She wrote an email.,,46
Rozbilo se to.,It broke.,,46
My jsem jeli vlakem.,We went by train.,,46
Vy jste mu dali adresu.,You gave him an address.,,46
Oni našli klíče.,They found the keys.,,46
