czech,english,block_id,grammar_chunk_id
sdělení,communication,,
základní,basic,,
svoboda,liberty,,
znepokojení,concern,,
sluneční světlo,sunlight,,
pronajmout,rent,,
následek,consequence,,
vyhovovat,suit,,
vhodný,suitable,,
vzdálený,remote,,
připomenout,remind,,
volný čas,leisure,,
citrón,lemon,,
zmást,confuse,,
zmatený,confused,,
kufr,suitcase,,
limonáda,lemonade,,
půjčovat,lend,,
sebevědomý,confident,,
shrnutí,summary,,
naživu,alive,,
dávka,batch,,
stav,condition,,
úroveň,level,,

Zavolám mu.,I'm going to call him.,64,54
Budeš dnes vařit.,You're going to cook today.,64,54
On začne nový projekt.,He's going to start a new project.,64,54
Ona odjede příští týden.,She's going to leave next week.,64,54
Ten strom brzy spadne.,The tree is going to fall soon.,64,54
My zůstaneme doma.,We're going to stay home.,64,54
Vy vyhrajete.,You're going to win.,64,54
Oni přijedou večer.,They're going to arrive tonight.,64,54
