czech,english,block_id,grammar_chunk_id
klon,clone,,
volný,loose,,
přežít,survive,,
spáchat,commit,,
závazek,commitment,,
litr,litre,,
surfovat,surf,,
surfování,surfing,,
propuštění,release,,
relaxovat,relax,,
uvolněný,relaxed,,
vtipný,comic,,
komik,comic,,
příjmení,surname,,
pohodlí,comfort,,
komfortní,comfortable,,
živý,lively,,
podnikatelka,businesswoman,,
zatížení,load,,
hřeben,comb,,
místní,local,,
sloupec,column,,
barvitý,colourful,,
překvapení,surprise,,

Pracoval jsem?,Did I work?,58,48
Díval ses?,Did you watch?,58,48
Uklízel?,Did he clean?,58,48
Otevřela?,Did she open?,58,48
Začalo?,Did it start?,58,48
Hráli jsme?,Did we play?,58,48
Pomohli jste?,Did you help?,58,48
Navštívili?,Did they visit?,58,48
