czech,english,block_id,grammar_chunk_id
překvapený,surprised,,
překvapující,surprising,,
zámek,lock,,
logika,logic,,
logický,logical,,
cola,cola,,
poplach,alarm,,
litovat,regret,,
výbor,committee,,
jasně,clearly,,
nákupní centrum,mall,,
spravovat,manage,,
manažer,manager,,
truhla,chest,,
šachy,chess,,
symfonie,symphony,,
způsob,manner,,
kontrola,cheque,,
lednička,refrigerator,,
šéfkuchař,chef,,
dětství,childhood,,
jásot,cheer,,
šek,check,,
označit,mark,,

Kde jsem pracoval?,Where did I work?,59,49
Co ses díval?,What did you watch?,59,49
Kdy uklízel?,When did he clean?,59,49
Co otevřela?,What did she open?,59,49
Kdy to začalo?,When did it start?,59,49
Kde jsme hráli?,Where did we play?,59,49
Komu jste pomohli?,Who did you help?,59,49
Co navštívili?,What did they visit?,59,49
